date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,2963.0,-1616.0,-1414.0,-66.0
2015-03-01,2186.0,31.0,-2131.0,86.0
2016-03-01,3722.0,-2300.0,-1475.0,-53.0
2017-03-01,4007.0,-1972.0,-2036.0,-1.0
2018-03-01,4017.0,-1858.0,-2102.0,57.0
2019-03-01,1032.0,1298.0,-2252.0,78.0
2020-03-01,5518.0,-2819.0,-2602.0,97.0
2021-03-01,4110.0,-2289.0,-1852.0,-31.0
2022-03-01,2104.0,-222.0,-1975.0,-94.0
2023-03-01,2614.0,-421.0,-2147.0,45.0
2024-03-01,4923.0,-1828.0,-2717.0,379.0
2025-03-01,4297.0,-1703.0,-2815.0,-221.0
