date,CashfromOperatingActivity ,CashfromInvestingActivity ,CashfromFinancingActivity ,NetCashFlow
2014-03-01,462.0,-63.0,-447.0,-48.0
2015-03-01,-76.0,-23.0,38.0,-62.0
2016-03-01,147.0,-147.0,-70.0,-70.0
2017-03-01,346.0,-117.0,-233.0,-4.0
2018-03-01,1180.0,-159.0,-1020.0,0.0
2019-03-01,-523.0,-159.0,682.0,-0.0
2020-03-01,850.0,-305.0,-546.0,-1.0
2021-03-01,649.0,-81.0,-569.0,-1.0
2022-03-01,695.0,-309.0,-385.0,-0.0
2023-03-01,453.0,-859.0,406.0,-0.0
2024-03-01,178.0,-225.0,47.0,0.0
2025-03-01,425.0,-880.0,455.0,0.0
