date,Sales ,Expenses ,OperatingProfit,OPM%,OtherIncome ,Interest,Depreciation,Profitbeforetax,Tax%,NetProfit ,EPSinRs,DividendPayout%
2011-12-01,7449.0,7093.0,356.0,0.05,38.0,46.0,80.0,268.0,0.31,185.0,8.72,0.34
2012-12-01,7608.0,7253.0,355.0,0.05,7.0,57.0,94.0,211.0,0.33,141.0,6.65,0.45
2024-12-01,12188.0,9883.0,2305.0,0.19,350.0,16.0,129.0,2510.0,0.25,1872.0,88.33,0.5
