date,Promoters ,FIIs ,DIIs ,Public ,No.ofShareholders
2016-03-01,0.5368999999999999,0.0771,0.1276,0.2584,102325.0
2017-03-01,0.5368999999999999,0.0583,0.048799999999999996,0.35609999999999997,100234.0
2018-03-01,0.5368999999999999,0.0311,0.045700000000000005,0.38630000000000003,97776.0
2019-03-01,0.5368999999999999,0.0155,0.0381,0.40950000000000003,107056.0
2020-03-01,0.5366,0.010700000000000001,0.0414,0.4113,133332.0
2021-03-01,0.5366,0.0003,0.038,0.4251,152173.0
2022-03-01,0.5366,0.0052,0.0037,0.4545,154569.0
2023-03-01,0.536,0.0036,0.0196,0.441,156453.0
2024-03-01,0.5357999999999999,0.0192,0.014199999999999999,0.43060000000000004,135374.0
2025-03-01,0.5359,0.0158,0.014199999999999999,0.4343,150289.0
2025-12-01,0.5356000000000001,0.0088,0.0098,0.4458,149818.0
