date,Promoters ,FIIs ,DIIs ,Public ,No.ofShareholders
2017-03-01,0.6819,0.0665,0.1773,0.07429999999999999,82161.0
2018-03-01,0.6679,0.0644,0.17850000000000002,0.0892,216908.0
2019-03-01,0.5882999999999999,0.07490000000000001,0.2288,0.10800000000000001,296899.0
2020-03-01,0.5114,0.10710000000000001,0.30210000000000004,0.0795,286632.0
2021-03-01,0.5114,0.1158,0.30210000000000004,0.0707,373893.0
2022-03-01,0.5114,0.1677,0.2671,0.0538,431034.0
2023-03-01,0.5114,0.1642,0.255,0.0695,780211.0
2024-03-01,0.5114,0.17559999999999998,0.2263,0.0866,1364873.0
2025-03-01,0.5114,0.17550000000000002,0.2087,0.1043,2678435.0
2025-12-01,0.5114,0.18510000000000001,0.2047,0.0987,2543622.0
