date,Promoters ,FIIs ,DIIs ,Government ,Public ,Others ,No.ofShareholders
2017-03-01,0.2669,0.3644,0.21059999999999998,0.0016,0.1566,0.0,185877.0
2018-03-01,0.21710000000000002,0.336,0.2133,0.0017000000000000001,0.183,0.049,250390.0
2019-03-01,0.2151,0.313,0.23440000000000003,0.0019,0.1885,0.0471,354812.0
2020-03-01,0.1989,0.33880000000000005,0.2812,0.0017000000000000001,0.1358,0.0435,422287.0
2021-03-01,0.1945,0.3893,0.2735,0.0024,0.09910000000000001,0.0412,444750.0
2022-03-01,0.19469999999999998,0.373,0.2878,0.0007000000000000001,0.10400000000000001,0.0397,632816.0
2023-03-01,0.1937,0.3924,0.2766,0.0007000000000000001,0.0981,0.0385,647141.0
2024-03-01,0.1858,0.4175,0.2613,0.0007000000000000001,0.09699999999999999,0.0375,721672.0
2025-03-01,0.1845,0.38299999999999995,0.2977,0.0008,0.0978,0.036000000000000004,895699.0
2025-12-01,0.1843,0.3749,0.3039,0.0012,0.1003,0.0352,885061.0
