date,Promoters ,FIIs ,DIIs ,Public ,No.ofShareholders
2017-03-01,0.5870000000000001,0.0016,0.0002,0.41119999999999995,7100.0
2018-03-01,0.5870000000000001,0.0017000000000000001,0.0003,0.4111,6395.0
2019-03-01,0.5870000000000001,0.0017000000000000001,0.001,0.4103,6332.0
2020-03-01,0.5870000000000001,0.0017000000000000001,0.0009,0.4104,6300.0
2021-03-01,0.5870000000000001,0.0015,0.0009,0.4106,6024.0
2022-03-01,0.5870000000000001,0.0023,0.0006,0.41009999999999996,8643.0
2023-03-01,0.5869,0.0026,0.0001,0.4104,7895.0
2024-03-01,0.5869,0.0025,0.0,0.4104,8694.0
2025-03-01,0.5869,0.0027,0.0,0.4104,7816.0
2025-12-01,0.5869,0.0027,0.0,0.4103,6670.0
