date,Promoters ,FIIs ,DIIs ,Public ,Others ,No.ofShareholders
2017-03-01,0.3127,0.2811,0.16449999999999998,0.24170000000000003,0.0,152463.0
2018-03-01,0.401,0.2743,0.1261,0.1986,0.0,230926.0
2019-03-01,0.40149999999999997,0.2,0.1867,0.2097,0.002,232610.0
2020-03-01,0.40259999999999996,0.1352,0.2286,0.23149999999999998,0.0021,233934.0
2021-03-01,0.4183,0.1444,0.1681,0.2672,0.002,222181.0
2022-03-01,0.4276,0.12710000000000002,0.14429999999999998,0.2987,0.0023,262650.0
2023-03-01,0.4275,0.1245,0.16820000000000002,0.27690000000000003,0.003,247265.0
2024-03-01,0.4305,0.127,0.16690000000000002,0.2724,0.0031,252317.0
2025-03-01,0.4311,0.13449999999999998,0.18239999999999998,0.2487,0.003,255169.0
2025-12-01,0.4321,0.1449,0.1699,0.2493,0.0036,238208.0
