date,Promoters ,FIIs ,DIIs ,Government ,Public ,No.ofShareholders
2024-03-01,0.47119999999999995,0.1945,0.125,0.0014000000000000002,0.2077,4399041.0
2025-03-01,0.47119999999999995,0.1166,0.1421,0.0017000000000000001,0.2683,5259483.0
2025-12-01,0.47119999999999995,0.1155,0.1536,0.0018,0.2577,4961997.0
