date,Promoters ,FIIs ,DIIs ,Public ,No.ofShareholders
2017-03-01,0.4094,0.1543,0.16690000000000002,0.2693,79352.0
2018-03-01,0.39840000000000003,0.2061,0.0786,0.3169,107814.0
2019-03-01,0.40979999999999994,0.2059,0.0776,0.30670000000000003,88169.0
2020-03-01,0.41100000000000003,0.22640000000000002,0.1275,0.2351,85865.0
2021-03-01,0.4121,0.2157,0.1506,0.2216,87449.0
2022-03-01,0.4242,0.17,0.1925,0.2133,173901.0
2023-03-01,0.4289,0.1352,0.2091,0.2267,187241.0
2024-03-01,0.4289,0.1127,0.2076,0.2507,239972.0
2025-03-01,0.42869999999999997,0.1201,0.2713,0.18,199662.0
2025-12-01,0.4286,0.10550000000000001,0.275,0.1909,193296.0
