date,Promoters ,FIIs ,DIIs ,Public ,Others ,No.ofShareholders
2017-03-01,0.5835,0.08220000000000001,0.0639,0.2704,0.0,67348.0
2018-03-01,0.5835,0.0782,0.0703,0.268,0.0,94270.0
2019-03-01,0.5837,0.083,0.065,0.2681,0.0003,99512.0
2020-03-01,0.608,0.0862,0.062400000000000004,0.2415,0.0019,171188.0
2021-03-01,0.608,0.0907,0.060899999999999996,0.23870000000000002,0.0018,194174.0
2022-03-01,0.6077,0.085,0.0697,0.2365,0.0011,243853.0
2023-03-01,0.6078,0.0703,0.071,0.2495,0.0013,736596.0
2024-03-01,0.6069,0.0842,0.0733,0.23379999999999998,0.0018,567041.0
2025-03-01,0.6064,0.0753,0.08990000000000001,0.2271,0.001,708845.0
2025-12-01,0.5881000000000001,0.0806,0.1074,0.2237,0.0002,617071.0
