date,Promoters ,FIIs ,DIIs ,Government ,Public ,Others ,No.ofShareholders
2017-03-01,0.5968,0.24559999999999998,0.0774,0.0,0.0802,0.0,174681.0
2018-03-01,0.6018,0.26539999999999997,0.0978,0.0001,0.0349,0.0,145973.0
2019-03-01,0.6,0.2874,0.0767,0.0001,0.0358,0.0,154700.0
2020-03-01,0.6033,0.2642,0.0911,0.0004,0.040999999999999995,0.0,215542.0
2021-03-01,0.6033,0.2414,0.1054,0.0002,0.049699999999999994,0.0,517847.0
2022-03-01,0.6072,0.18969999999999998,0.14679999999999999,0.0002,0.0538,0.0023,908055.0
2023-03-01,0.6082,0.1892,0.1528,0.0002,0.047400000000000005,0.0023,940079.0
2024-03-01,0.6082,0.19649999999999998,0.1495,0.0002,0.0435,0.0021,855960.0
2025-03-01,0.6082,0.19149999999999998,0.15439999999999998,0.0004,0.0437,0.0018,880722.0
2025-12-01,0.6082,0.16210000000000002,0.1837,0.0004,0.0426,0.003,882505.0
