date,Promoters ,FIIs ,DIIs ,Public ,No.ofShareholders
2017-03-01,0.7049,0.0737,0.1257,0.0958,56108.0
2018-03-01,0.7049,0.0687,0.1343,0.09210000000000002,67782.0
2019-03-01,0.7054,0.0751,0.1303,0.0892,73237.0
2020-03-01,0.7054,0.07519999999999999,0.1311,0.0883,73784.0
2021-03-01,0.7054,0.0433,0.16190000000000002,0.0894,81507.0
2022-03-01,0.7054,0.035,0.1637,0.0959,98873.0
2023-03-01,0.7054,0.037000000000000005,0.1678,0.08990000000000001,79456.0
2024-03-01,0.7054,0.040999999999999995,0.17190000000000003,0.0815,65376.0
2025-03-01,0.7054,0.060899999999999996,0.16,0.0736,68418.0
2025-12-01,0.7054,0.07339999999999999,0.149,0.0722,65028.0
