date,Promoters ,FIIs ,DIIs ,Government ,Public ,Others ,No.ofShareholders
2017-03-01,0.3907,0.0987,0.20620000000000002,0.0,0.3044,0.0,25553.0
2018-03-01,0.3889,0.0781,0.22769999999999999,0.0026,0.3028,0.0,39690.0
2019-03-01,0.3876,0.07519999999999999,0.2316,0.0,0.3056,0.0,46488.0
2020-03-01,0.3876,0.08800000000000001,0.2284,0.0,0.29600000000000004,0.0,51871.0
2021-03-01,0.3876,0.1108,0.21559999999999999,0.0,0.2859,0.0,54876.0
2022-03-01,0.38780000000000003,0.1183,0.22440000000000002,0.0,0.2696,0.0,56504.0
2023-03-01,0.38789999999999997,0.1045,0.25129999999999997,0.0,0.2565,0.0,56940.0
2024-03-01,0.365,0.1593,0.2469,0.0,0.2289,0.0,72949.0
2025-03-01,0.36469999999999997,0.16940000000000002,0.23129999999999998,0.0,0.23440000000000003,0.0,129555.0
2025-12-01,0.36479999999999996,0.1466,0.2676,0.0,0.2208,0.0001,111215.0
