date,Promoters ,FIIs ,DIIs ,Government ,Public ,Others ,No.ofShareholders
2017-03-01,0.5305,0.2113,0.050300000000000004,0.0034999999999999996,0.20440000000000003,0.0,109516.0
2018-03-01,0.5291,0.2072,0.0611,0.0017000000000000001,0.201,0.0,131620.0
2019-03-01,0.5291,0.1924,0.0721,0.0017000000000000001,0.2047,0.0,180710.0
2020-03-01,0.5291,0.17739999999999997,0.10869999999999999,0.0023,0.1826,0.0,322928.0
2021-03-01,0.529,0.18100000000000002,0.11130000000000001,0.0034999999999999996,0.1753,0.0,355774.0
2022-03-01,0.529,0.184,0.10210000000000001,0.0016,0.1833,0.0,578252.0
2023-03-01,0.529,0.1751,0.11230000000000001,0.0017000000000000001,0.1819,0.0,719167.0
2024-03-01,0.529,0.19010000000000002,0.10289999999999999,0.0017000000000000001,0.1757,0.0008,749319.0
2025-03-01,0.529,0.1782,0.1201,0.0019,0.17010000000000003,0.0008,855126.0
2025-12-01,0.529,0.1555,0.1483,0.0019,0.16449999999999998,0.0008,749373.0
