date,Promoters ,FIIs ,DIIs ,Government ,Public ,Others ,No.ofShareholders
2017-03-01,0.6714,0.1522,0.1115,0.0,0.0646,0.0003,212238.0
2018-03-01,0.6714,0.1845,0.12380000000000001,0.0,0.0199,0.0004,193663.0
2019-03-01,0.6714,0.1761,0.1325,0.0,0.02,0.0,186238.0
2020-03-01,0.5898,0.2029,0.1583,0.0,0.0487,0.0004,230528.0
2021-03-01,0.5586,0.1857,0.20350000000000001,0.0,0.0516,0.0006,713866.0
2022-03-01,0.5593,0.1936,0.195,0.0,0.0516,0.0005,767578.0
2023-03-01,0.5502,0.2097,0.1978,0.0012,0.0405,0.0005,758715.0
2024-03-01,0.5347999999999999,0.24350000000000002,0.192,0.0012,0.027999999999999997,0.0005,694297.0
2025-03-01,0.5242,0.2541,0.1923,0.0012,0.0275,0.0007000000000000001,833428.0
2025-12-01,0.48869999999999997,0.2875,0.1954,0.0012,0.0265,0.0005,852831.0
