date,Promoters ,FIIs ,DIIs ,Government ,Public ,Others ,No.ofShareholders
2017-03-01,0.5794,0.19260000000000002,0.0536,0.0,0.1689,0.005600000000000001,94633.0
2018-03-01,0.5514,0.1946,0.0898,0.0,0.1594,0.0049,131959.0
2019-03-01,0.5517,0.20670000000000002,0.085,0.0,0.1547,0.0019,168420.0
2020-03-01,0.562,0.2116,0.10890000000000001,0.0,0.11460000000000001,0.0029,354901.0
2021-03-01,0.5611999999999999,0.24059999999999998,0.0908,0.0,0.1057,0.0017000000000000001,464394.0
2022-03-01,0.5586,0.2141,0.11220000000000001,0.0,0.1115,0.0036,718638.0
2023-03-01,0.5590999999999999,0.1916,0.1292,0.0007000000000000001,0.1175,0.0017000000000000001,890706.0
2024-03-01,0.5468999999999999,0.20550000000000002,0.1433,0.0007000000000000001,0.10189999999999999,0.0016,799199.0
2025-03-01,0.5473,0.2145,0.1478,0.0008,0.08839999999999999,0.001,705610.0
2025-12-01,0.547,0.21489999999999998,0.14859999999999998,0.0008,0.0877,0.001,961994.0
