date,FIIs ,DIIs ,Government ,Public ,Others ,No.ofShareholders
2022-03-01,0.10439999999999999,0.0305,0.0,0.836,0.0291,1420336.0
2023-03-01,0.5461,0.08039999999999999,0.0,0.3515,0.0222,1910058.0
2024-03-01,0.5511,0.1528,0.0,0.2805,0.0158,1916416.0
2025-03-01,0.4436,0.2347,0.001,0.2608,0.059800000000000006,2791930.0
2025-12-01,0.3624,0.3261,0.001,0.2547,0.0558,2271175.0
