date,Promoters ,FIIs ,DIIs ,Public ,No.ofShareholders
2017-03-01,0.2608,0.47369999999999995,0.0217,0.2438,50610.0
2018-03-01,0.2608,0.49479999999999996,0.0401,0.20420000000000002,45012.0
2019-03-01,0.2608,0.5094,0.038900000000000004,0.1909,51576.0
2020-03-01,0.2625,0.6466,0.027000000000000003,0.0639,56493.0
2021-03-01,0.2648,0.6101,0.0687,0.0564,78348.0
2022-03-01,0.2645,0.5388000000000001,0.1399,0.056799999999999996,100926.0
2023-03-01,0.2551,0.4978,0.1174,0.12960000000000002,99212.0
2024-03-01,0.25420000000000004,0.539,0.15689999999999998,0.05,118031.0
2025-03-01,0.2539,0.5357999999999999,0.1534,0.056799999999999996,230821.0
2025-12-01,0.25379999999999997,0.4721,0.21289999999999998,0.0611,298475.0
