date,FIIs ,DIIs ,Government ,Public ,No.ofShareholders
2017-03-01,0.20079999999999998,0.3579,0.0,0.4413,547642.0
2018-03-01,0.18,0.371,0.0,0.449,795843.0
2019-03-01,0.1704,0.382,0.0,0.4476,857729.0
2020-03-01,0.1465,0.42460000000000003,0.0,0.4289,1302214.0
2021-03-01,0.12789999999999999,0.425,0.0,0.4471,2196475.0
2022-03-01,0.1199,0.4277,0.0,0.4524,2840964.0
2023-03-01,0.4335,0.4208,0.0004,0.1452,2930527.0
2024-03-01,0.40950000000000003,0.4376,0.0004,0.1523,3648537.0
2025-03-01,0.3987,0.45189999999999997,0.0004,0.149,3647886.0
2025-12-01,0.3611,0.489,0.0004,0.1495,3608157.0
