date,Promoters ,FIIs ,DIIs ,Government ,Public ,Others ,No.ofShareholders
2017-03-01,0.1275,0.3831,0.20309999999999997,0.0,0.2814,0.0049,711129.0
2018-03-01,0.129,0.35240000000000005,0.2155,0.0,0.2982,0.0049,753025.0
2019-03-01,0.1284,0.3404,0.22870000000000001,0.0,0.2978,0.004699999999999999,919720.0
2020-03-01,0.1315,0.31010000000000004,0.2468,0.0,0.3073,0.0043,1134263.0
2021-03-01,0.1295,0.3267,0.231,0.0,0.30920000000000003,0.0036,1409782.0
2022-03-01,0.1311,0.33299999999999996,0.171,0.0,0.3616,0.0033,2128827.0
2023-03-01,0.1514,0.35090000000000005,0.33590000000000003,0.0019,0.1567,0.0033,2801574.0
2024-03-01,0.1471,0.3411,0.35619999999999996,0.0021,0.1506,0.0029,2773406.0
2025-03-01,0.146,0.3289,0.3832,0.0021,0.13720000000000002,0.0026,2546234.0
2025-12-01,0.1452,0.30269999999999997,0.4108,0.002,0.1369,0.0024,2631803.0
