date,Promoters ,FIIs ,DIIs ,Government ,Public ,Others ,No.ofShareholders
2017-03-01,0.493,0.1744,0.0767,0.0,0.2559,0.0,80360.0
2018-03-01,0.493,0.172,0.0851,0.0,0.24989999999999998,0.0,88377.0
2019-03-01,0.5118,0.1564,0.0738,0.0,0.258,0.0,109541.0
2020-03-01,0.5366,0.1394,0.0876,0.0,0.2364,0.0,125263.0
2021-03-01,0.537,0.1199,0.1229,0.0,0.2202,0.0,156955.0
2022-03-01,0.5377000000000001,0.10490000000000001,0.1317,0.0,0.2257,0.0,233225.0
2023-03-01,0.5499,0.1235,0.1079,0.0007000000000000001,0.21789999999999998,0.0,209076.0
2024-03-01,0.5506,0.14529999999999998,0.08470000000000001,0.0008,0.2188,0.0,297605.0
2025-03-01,0.5503,0.1161,0.1092,0.0008,0.2232,0.0004,344314.0
2025-12-01,0.5499,0.08839999999999999,0.1407,0.0,0.22010000000000002,0.0009,333792.0
