date,Promoters ,FIIs ,DIIs ,Public ,No.ofShareholders
2017-03-01,0.75,0.0437,0.12539999999999998,0.0809,64014.0
2018-03-01,0.75,0.0321,0.1355,0.0824,58583.0
2019-03-01,0.75,0.033,0.1295,0.0875,65551.0
2020-03-01,0.75,0.0331,0.1161,0.1008,69683.0
2021-03-01,0.75,0.0383,0.0726,0.1391,76229.0
2022-03-01,0.75,0.0368,0.08220000000000001,0.131,83187.0
2023-03-01,0.75,0.08449999999999999,0.0898,0.0756,106396.0
2024-03-01,0.75,0.1189,0.059500000000000004,0.07150000000000001,102557.0
2025-03-01,0.75,0.1027,0.0701,0.077,171077.0
2025-12-01,0.75,0.0764,0.0915,0.08199999999999999,200657.0
