date,Promoters ,FIIs ,DIIs ,Public ,No.ofShareholders
2017-03-01,0.3013,0.5054,0.08839999999999999,0.10490000000000001,448287.0
2018-03-01,0.276,0.499,0.1341,0.0909,353088.0
2019-03-01,0.187,0.4962,0.21239999999999998,0.10439999999999999,336023.0
2020-03-01,0.16,0.4549,0.2494,0.1356,558989.0
2021-03-01,0.1358,0.5143,0.2327,0.11720000000000001,620618.0
2022-03-01,0.09699999999999999,0.4693,0.305,0.12869999999999998,813530.0
2023-03-01,0.0816,0.4905,0.3201,0.1079,846261.0
2024-03-01,0.08220000000000001,0.5384,0.3012,0.0781,786166.0
2025-03-01,0.0818,0.43939999999999996,0.40869999999999995,0.0699,935453.0
2025-12-01,0.0815,0.42579999999999996,0.4265,0.0661,863758.0
