date,Promoters ,FIIs ,DIIs ,Public ,No.ofShareholders
2017-03-01,0.615,0.1298,0.019,0.23629999999999998,42373.0
2018-03-01,0.6051,0.1144,0.025699999999999997,0.2548,50887.0
2019-03-01,0.6058,0.12380000000000001,0.023399999999999997,0.247,51676.0
2020-03-01,0.5957,0.1245,0.027200000000000002,0.2526,51218.0
2021-03-01,0.5774,0.1478,0.0231,0.2516,48994.0
2022-03-01,0.5807,0.1503,0.0218,0.24719999999999998,83195.0
2023-03-01,0.5807,0.1804,0.035699999999999996,0.20309999999999997,71850.0
2024-03-01,0.581,0.18170000000000003,0.0492,0.188,65445.0
2025-03-01,0.581,0.18059999999999998,0.06309999999999999,0.1752,86749.0
2025-12-01,0.581,0.1787,0.0541,0.1864,77695.0
