date,Promoters ,FIIs ,DIIs ,Public ,No.ofShareholders
2017-03-01,0.3208,0.3856,0.0785,0.2151,160326.0
2018-03-01,0.3004,0.3956,0.0898,0.21420000000000003,166014.0
2019-03-01,0.2999,0.40270000000000006,0.1151,0.18230000000000002,235542.0
2020-03-01,0.2992,0.3917,0.1264,0.1826,334275.0
2021-03-01,0.2602,0.44229999999999997,0.1353,0.16219999999999998,423239.0
2022-03-01,0.25980000000000003,0.4086,0.166,0.1656,579821.0
2023-03-01,0.2595,0.3942,0.21309999999999998,0.133,582733.0
2024-03-01,0.259,0.3759,0.23399999999999999,0.1311,681301.0
2025-03-01,0.2588,0.3265,0.2913,0.1234,705616.0
2025-12-01,0.2587,0.29359999999999997,0.32880000000000004,0.11900000000000001,679096.0
