date,Promoters ,FIIs ,DIIs ,Government ,Public ,No.ofShareholders
2017-03-01,0.6479,0.146,0.1465,0.0,0.0596,20910.0
2018-03-01,0.6479,0.1282,0.1668,0.0,0.0571,27872.0
2019-03-01,0.6479,0.1297,0.0622,0.0,0.1603,27800.0
2020-03-01,0.6255,0.11900000000000001,0.11220000000000001,0.0,0.1432,39836.0
2021-03-01,0.6255,0.1251,0.10800000000000001,0.0,0.1414,41632.0
2022-03-01,0.6255,0.122,0.1116,0.0,0.1409,56833.0
2023-03-01,0.6256,0.1282,0.1158,0.0017000000000000001,0.129,31219.0
2024-03-01,0.6256,0.1247,0.12140000000000001,0.0018,0.1264,28268.0
2025-03-01,0.6256,0.09699999999999999,0.1507,0.0025,0.1242,24779.0
2025-12-01,0.6256,0.1007,0.1459,0.0025,0.12539999999999998,28755.0
