SYMBOL,COMPANY_NAME_API,NSE_INDUSTRY,SECTOR,INDEX_MEMBERSHIP
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,Road Transport,Industrials,
EDELWEISS,Edelweiss Financial Services Limited,Holding Company,Diversified / Others,
EFCIL,EFC (I) Limited,Diversified Commercial Services,Diversified / Others,
EICHERMOT,Eicher Motors Limited,2/3 Wheelers,Diversified / Others,"NIFTY100,NIFTY50,NIFTY500"
EIDPARRY,EID Parry India Limited,Other Food Products,Consumer Staples,"NIFTY500,NIFTYSMALLCAP250"
EIEL,Enviro Infra Engineers Limited,Water Supply & Management,Utilities,
EIFFL,Euro India Fresh Foods Limited,Packaged Foods,Consumer Staples,
EIHAHOTELS,EIH Associated Hotels Limited,Hotels & Resorts,Consumer Discretionary,
EIHOTEL,EIH Limited,Hotels & Resorts,Consumer Discretionary,"NIFTY500,NIFTYSMALLCAP250"
EIMCOELECO,Eimco Elecon (India) Limited,Industrial Products,Industrials,
EKC,Everest Kanto Cylinder Limited,Industrial Products,Industrials,
ELDEHSG,Eldeco Housing And Industries Limited,Residential Commercial Projects,Real Estate & Construction,
ELECON,Elecon Engineering Company Limited,Heavy Electrical Equipment,Industrials,"NIFTY500,NIFTYSMALLCAP250"
ELECTCAST,Electrosteel Castings Limited,Iron & Steel Products,Materials,
ELECTHERM,Electrotherm (India) Limited,Iron & Steel Products,Materials,
ELGIEQUIP,Elgi Equipments Limited,Compressors Pumps & Diesel Engines,Industrials,"NIFTY500,NIFTYSMALLCAP250"
ELGIRUBCO,Elgi Rubber Company Limited,Rubber,Industrials,
ELIN,Elin Electronics Limited,Household Appliances,Consumer Discretionary,
ELLEN,Ellenbarrie Industrial Gases Limited,Industrial Gases,Energy,
EMAMILTD,Emami Limited,Personal Care,Consumer Staples,"NIFTY500,NIFTYSMALLCAP250"
EMAMIPAP,Emami Paper Mills Limited,Paper & Paper Products,Materials,
EMAMIREAL,Emami Realty Limited,Residential Commercial Projects,Real Estate & Construction,
EMBDL,Embassy Developments Limited,Residential Commercial Projects,Real Estate & Construction,
EMCURE,Emcure Pharmaceuticals Limited,Pharmaceuticals,Healthcare & Pharma,"NIFTY500,NIFTYSMALLCAP250"
EMIL,Electronics Mart India Limited,Diversified Retail,Diversified / Others,
EMKAY,Emkay Global Financial Services Limited,Stockbroking & Allied,Financials,
EMMBI,Emmbi Industries Limited,Packaging,Materials,
EMMVEE,Emmvee Photovoltaic Power Limited,Other Electrical Equipment,Industrials,
EMSLIMITED,EMS Limited,Waste Management,Diversified / Others,
EMUDHRA,eMudhra Limited,IT Enabled Services,Information Technology,
ENDURANCE,Endurance Technologies Limited,Auto Components & Equipments,Consumer Discretionary,"NIFTY500,NIFTYMIDCAP150"
ENERGYDEV,Energy Development Company Limited,Power Generation,Utilities,
ENGINERSIN,Engineers India Limited,Civil Construction,Real Estate & Construction,"NIFTY500,NIFTYSMALLCAP250"
ENIL,Entertainment Network (India) Limited,Media & Entertainment,Consumer Discretionary,
ENRIN,Siemens Energy India Limited,Heavy Electrical Equipment,Industrials,"NIFTY100,NIFTY500"
ENTERO,Entero Healthcare Solutions Limited,Pharmacy Retail,Healthcare & Pharma,
EPACK,EPACK Durable Limited,Household Appliances,Consumer Discretionary,
EPACKPEB,EPack Prefab Technologies Limited,Industrial Products,Industrials,
EPIGRAL,Epigral Limited,Specialty Chemicals,Materials,
EPL,EPL Limited,Packaging,Materials,
EQUIPPP,Equippp Social Impact Technologies Limited,Computers - Software & Consulting,Information Technology,
EQUITASBNK,Equitas Small Finance Bank Limited,Other Bank,Financials,
ERIS,Eris Lifesciences Limited,Pharmaceuticals,Healthcare & Pharma,"NIFTY500,NIFTYSMALLCAP250"
ESABINDIA,Esab India Limited,Other Industrial Products,Industrials,
ESAFSFB,ESAF Small Finance Bank Limited,Other Bank,Financials,
ESCORTS,Escorts Kubota Limited,Tractors,Diversified / Others,"NIFTY500,NIFTYMIDCAP150"
ESSARSHPNG,Essar Shipping Limited,Shipping,Industrials,
ESSENTIA,Integra Essentia Limited,Trading & Distributors,Consumer Discretionary,
ESTER,Ester Industries Limited,Packaging,Materials,
ETERNAL,ETERNAL LIMITED,E-Retail/ E-Commerce,Consumer Discretionary,"NIFTY100,NIFTY50,NIFTY500"
ETHOSLTD,Ethos Limited,Gems Jewellery And Watches,Consumer Discretionary,
EUREKAFORB,Eureka Forbes Limited,Household Appliances,Consumer Discretionary,
EUROBOND,Euro Panel Products Limited,Aluminium Copper & Zinc Products,Materials,
EUROPRATIK,Euro Pratik Sales Limited,Furniture Home Furnishing,Diversified / Others,
EVEREADY,Eveready Industries India Limited,Household Products,Consumer Staples,
EVERESTIND,Everest Industries Limited,Other Construction Materials,Real Estate & Construction,
EXCEL,Excel Realty N Infra Limited,Trading & Distributors,Consumer Discretionary,
EXCELINDUS,Excel Industries Limited,Specialty Chemicals,Materials,
EXCELSOFT,Excelsoft Technologies Limited,IT Enabled Services,Information Technology,
EXICOM,Exicom Tele-Systems Limited,Heavy Electrical Equipment,Industrials,
EXIDEIND,Exide Industries Limited,Auto Components & Equipments,Consumer Discretionary,"NIFTY500,NIFTYMIDCAP150"
EXPLEOSOL,Expleo Solutions Limited,IT Enabled Services,Information Technology,
EXXARO,Exxaro Tiles Limited,Ceramics,Materials,
FABTECH,Fabtech Technologies Limited,Medical Equipment & Supplies,Healthcare & Pharma,
FACT,Fertilizers and Chemicals Travancore Limited,Fertilizers,Materials,"NIFTY500,NIFTYMIDCAP150"
FAIRCHEMOR,Fairchem Organics Limited,Specialty Chemicals,Materials,
FAZE3Q,Faze Three Limited,Other Textile Products,Consumer Discretionary,
FCL,Fineotex Chemical Limited,Specialty Chemicals,Materials,
FCSSOFT,FCS Software Solutions Limited,IT Enabled Services,Information Technology,
FDC,FDC Limited,Pharmaceuticals,Healthcare & Pharma,
FEDERALBNK,The Federal Bank  Limited,Private Sector Bank,Financials,"NIFTY500,NIFTYMIDCAP150"
FEDFINA,Fedbank Financial Services Limited,Non Banking Financial Company (NBFC),Financials,
FEL,Future Enterprises Limited,Diversified Retail,Diversified / Others,
FELDVR,Future Enterprises Limited,Diversified Retail,Diversified / Others,
FIBERWEB,Fiberweb (India) Limited,Other Textile Products,Consumer Discretionary,
FIEMIND,Fiem Industries Limited,Auto Components & Equipments,Consumer Discretionary,
FILATEX,Filatex India Limited,Other Textile Products,Consumer Discretionary,
FILATFASH,Filatex Fashions Limited,Garments & Apparels,Consumer Discretionary,
FINCABLES,Finolex Cables Limited,Cables - Electricals,Industrials,"NIFTY500,NIFTYSMALLCAP250"
FINEORG,Fine Organic Industries Limited,Specialty Chemicals,Materials,
FINKURVE,Finkurve Financial Services Limited,Non Banking Financial Company (NBFC),Financials,
FINOPB,Fino Payments Bank Limited,Other Bank,Financials,
FINPIPE,Finolex Industries Limited,Plastic Products - Industrial,Industrials,"NIFTY500,NIFTYSMALLCAP250"
FIRSTCRY,Brainbees Solutions Limited,E-Retail/ E-Commerce,Consumer Discretionary,"NIFTY500,NIFTYSMALLCAP250"
FISCHER,Fischer Medical Ventures Limited,Medical Equipment & Supplies,Healthcare & Pharma,
FIVESTAR,Five-Star Business Finance Limited,Non Banking Financial Company (NBFC),Financials,"NIFTY500,NIFTYSMALLCAP250"
FLAIR,Flair Writing Industries Limited,Stationary,Diversified / Others,
FLEXITUFF,Flexituff Ventures International Limited,Other Textile Products,Consumer Discretionary,
FLFL,Future Lifestyle Fashions Limited,Diversified Retail,Diversified / Others,
FLUOROCHEM,Gujarat Fluorochemicals Limited,Specialty Chemicals,Materials,"NIFTY500,NIFTYMIDCAP150"
FMGOETZE,Federal-Mogul Goetze (India) Limited.,Auto Components & Equipments,Consumer Discretionary,
FMNL,Future Market Networks Limited,Diversified Commercial Services,Diversified / Others,
FOCUS,Focus Lighting and Fixtures Limited,Consumer Electronics,Consumer Discretionary,
FOODSIN,Foods & Inns Limited,Packaged Foods,Consumer Staples,
FORCEMOT,FORCE MOTORS LTD,Passenger Cars & Utility Vehicles,Consumer Discretionary,"NIFTY500,NIFTYSMALLCAP250"
FORTIS,Fortis Healthcare Limited,Hospital,Healthcare & Pharma,"NIFTY500,NIFTYMIDCAP150"
FOSECOIND,Foseco India Limited,Specialty Chemicals,Materials,
FSL,Firstsource Solutions Limited,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Diversified / Others,"NIFTY500,NIFTYSMALLCAP250"
FUSION,Fusion Finance Limited,Microfinance Institutions,Financials,
GABRIEL,Gabriel India Limited,Auto Components & Equipments,Consumer Discretionary,
GAEL,Gujarat Ambuja Exports Limited,Other Agricultural Products,Diversified / Others,
GAIL,GAIL (India) Limited,Gas Transmission/Marketing,Energy,"NIFTY100,NIFTY500"
GALAPREC,Gala Precision Engineering Limited,Industrial Products,Industrials,
GALAXYSURF,Galaxy Surfactants Limited,Specialty Chemicals,Materials,
GALLANTT,Gallantt Ispat Limited,Iron & Steel Products,Materials,
GANDHAR,Gandhar Oil Refinery (India) Limited,Lubricants,Diversified / Others,
GANDHITUBE,Gandhi Special Tubes Limited,Iron & Steel Products,Materials,
GANECOS,Ganesha Ecosphere Limited,Other Textile Products,Consumer Discretionary,
GANESHBE,Ganesh Benzoplast Limited,Oil Storage & Transportation,Energy,
GANESHCP,Ganesh Consumer Products Limited,Packaged Foods,Consumer Staples,
GANESHHOU,GANESH HOUSING LIMITED,Residential Commercial Projects,Real Estate & Construction,
GANGAFORGE,Ganga Forging Limited,Castings & Forgings,Industrials,
GANGESSECU,Ganges Securities Limited,Tea & Coffee,Consumer Staples,
GARFIBRES,Garware Technical Fibres Limited,Other Textile Products,Consumer Discretionary,
GARUDA,Garuda Construction and Engineering Limited,Civil Construction,Real Estate & Construction,
GATECH,GACM Technologies Limited,Other Financial Services,Financials,
GATECHDVR,GACM Technologies Limited,Other Financial Services,Financials,
GATEWAY,Gateway Distriparks Limited,Logistics Solution Provider,Industrials,
GAYAHWS,Gayatri Highways Limited,Road Assets - Toll Annuity Hybrid-Annuity,Diversified / Others,
GCSL,Gretex Corporate Services Limited,Other Capital Market related Services,Financials,
GEECEE,GeeCee Ventures Limited,Residential Commercial Projects,Real Estate & Construction,
GEEKAYWIRE,Geekay Wires Limited,Iron & Steel Products,Materials,
GEMAROMA,Gem Aromatics Limited,Specialty Chemicals,Materials,
GENCON,Generic Engineering Construction and Projects Limited,Residential Commercial Projects,Real Estate & Construction,
GENESYS,Genesys International Corporation Limited,IT Enabled Services,Information Technology,
GENSOL,Gensol Engineering Limited,Other Electrical Equipment,Industrials,
GENUSPAPER,Genus Paper & Boards Limited,Paper & Paper Products,Materials,
GENUSPOWER,Genus Power Infrastructures Limited,Other Electrical Equipment,Industrials,
GEOJITFSL,Geojit Financial Services Limited,Stockbroking & Allied,Financials,
GESHIP,The Great Eastern Shipping Company Limited,Shipping,Industrials,"NIFTY500,NIFTYSMALLCAP250"
GFLLIMITED,GFL Limited,Holding Company,Diversified / Others,
GHCL,GHCL Limited,Commodity Chemicals,Materials,
GHCLTEXTIL,GHCL Textiles Limited,Other Textile Products,Consumer Discretionary,
GICHSGFIN,GIC Housing Finance Limited,Housing Finance Company,Financials,
GICRE,General Insurance Corporation of India,General Insurance,Financials,"NIFTY500,NIFTYMIDCAP150"
GILLANDERS,Gillanders Arbuthnot & Company Limited,Tea & Coffee,Consumer Staples,
GILLETTE,Gillette India Limited,Personal Care,Consumer Staples,"NIFTY500,NIFTYSMALLCAP250"
GINNIFILA,Ginni Filaments Limited,Other Textile Products,Consumer Discretionary,
GIPCL,Gujarat Industries Power Company Limited,Power Generation,Utilities,
GKENERGY,GK Energy Limited,Civil Construction,Real Estate & Construction,
GKWLIMITED,GKW Limited,Investment Company,Financials,
GLAND,Gland Pharma Limited,Pharmaceuticals,Healthcare & Pharma,"NIFTY500,NIFTYSMALLCAP250"
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,Pharmaceuticals,Healthcare & Pharma,"NIFTY500,NIFTYMIDCAP150"
GLENMARK,Glenmark Pharmaceuticals Limited,Pharmaceuticals,Healthcare & Pharma,"NIFTY500,NIFTYMIDCAP150"
GLOBAL,Global Education Limited,Education,Diversified / Others,
GLOBALE,Globale Tessile Limited,Trading - Textile Products,Consumer Discretionary,
GLOBALVECT,Global Vectra Helicorp Limited,Airline,Industrials,
GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED,Other Textile Products,Consumer Discretionary,
GLOBECIVIL,Globe Civil Projects Limited,Civil Construction,Real Estate & Construction,
GLOBUSSPR,Globus Spirits Limited,Breweries & Distilleries,Consumer Staples,
GLOSTERLTD,Gloster Limited,Jute & Jute Products,Diversified / Others,
GLOTTIS,Glottis Limited,Logistics Solution Provider,Industrials,
GMBREW,GM Breweries Limited,Breweries & Distilleries,Consumer Staples,
GMDCLTD,Gujarat Mineral Development Corporation Limited,Industrial Minerals,Materials,"NIFTY500,NIFTYSMALLCAP250"
GMMPFAUDLR,GMM Pfaudler Limited,Industrial Products,Industrials,
GMRAIRPORT,GMR AIRPORTS LIMITED,Airport & Airport services,Industrials,"NIFTY500,NIFTYMIDCAP150"
GMRP&UI,GMR Power and Urban Infra Limited,Power Generation,Utilities,
GNA,GNA Axles Limited,Auto Components & Equipments,Consumer Discretionary,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,Commodity Chemicals,Materials,
GOACARBON,Goa Carbon Limited,Industrial Minerals,Materials,
GOCLCORP,GOCL Corporation Limited,Explosives,Diversified / Others,
GOCOLORS,Go Fashion (India) Limited,Speciality Retail,Consumer Discretionary,
GODAVARIB,Godavari Biorefineries Limited,Diversified FMCG,Diversified / Others,
GODFRYPHLP,Godfrey Phillips India Limited,Cigarettes & Tobacco Products,Consumer Staples,"NIFTY500,NIFTYMIDCAP150"
GODIGIT,Go Digit General Insurance Limited,General Insurance,Financials,"NIFTY500,NIFTYSMALLCAP250"
GODREJAGRO,Godrej Agrovet Limited,Animal Feed,Diversified / Others,"NIFTY500,NIFTYSMALLCAP250"
GODREJCP,Godrej Consumer Products Limited,Personal Care,Consumer Staples,"NIFTY100,NIFTY500"
GODREJIND,Godrej Industries Limited,Diversified,Diversified / Others,"NIFTY500,NIFTYMIDCAP150"
GODREJPROP,Godrej Properties Limited,Residential Commercial Projects,Real Estate & Construction,"NIFTY500,NIFTYMIDCAP150"
GOENKA,Goenka Diamond and Jewels Limited,Gems Jewellery And Watches,Consumer Discretionary,
GOKEX,Gokaldas Exports Limited,Garments & Apparels,Consumer Discretionary,
GOKUL,Gokul Refoils and Solvent Limited,Edible Oil,Energy,
GOKULAGRO,Gokul Agro Resources Limited,Edible Oil,Energy,
GOLDENTOBC,Golden Tobacco Limited,Residential Commercial Projects,Real Estate & Construction,
GOLDIAM,Goldiam International Limited,Gems Jewellery And Watches,Consumer Discretionary,
GOLDTECH,AION-TECH SOLUTIONS LIMITED,Software Products,Information Technology,
GOODLUCK,Goodluck India Limited,Iron & Steel Products,Materials,
GOPAL,Gopal Snacks Limited,Packaged Foods,Consumer Staples,
GOYALALUM,Goyal Aluminiums Limited,Trading & Distributors,Consumer Discretionary,
GPIL,Godawari Power And Ispat limited,Iron & Steel Products,Materials,"NIFTY500,NIFTYSMALLCAP250"
GPPL,Gujarat Pipavav Port Limited,Port & Port services,Diversified / Others,
GPTHEALTH,GPT Healthcare Limited,Hospital,Healthcare & Pharma,
GPTINFRA,GPT Infraprojects Limited,Civil Construction,Real Estate & Construction,
GRANULES,Granules India Limited,Pharmaceuticals,Healthcare & Pharma,"NIFTY500,NIFTYSMALLCAP250"
GRAPHITE,Graphite India Limited,Electrodes & Refractories,Industrials,"NIFTY500,NIFTYSMALLCAP250"
GRASIM,Grasim Industries Limited,Cement & Cement Products,Materials,"NIFTY100,NIFTY50,NIFTY500"
GRAVITA,Gravita India Limited,Industrial Minerals,Materials,"NIFTY500,NIFTYSMALLCAP250"
GREAVESCOT,Greaves Cotton Limited,Compressors Pumps & Diesel Engines,Industrials,
GREENLAM,Greenlam Industries Limited,Plywood Boards/ Laminates,Materials,
GREENPANEL,Greenpanel Industries Limited,Plywood Boards/ Laminates,Materials,
GREENPLY,Greenply Industries Limited,Plywood Boards/ Laminates,Materials,
GREENPOWER,Orient Green Power Company Limited,Power Generation,Utilities,
GRINDWELL,Grindwell Norton Limited,Abrasives & Bearings,Diversified / Others,
GRINFRA,G R Infraprojects Limited,Civil Construction,Real Estate & Construction,
GRMOVER,GRM Overseas Limited,Other Agricultural Products,Diversified / Others,
GROBTEA,The Grob Tea Company Limited,Tea & Coffee,Consumer Staples,
GROWW,Billionbrains Garage Ventures Limited,Stockbroking & Allied,Financials,
GRPLTD,GRP Limited,Rubber,Industrials,
GRSE,Garden Reach Shipbuilders & Engineers Limited,Aerospace & Defense,Industrials,"NIFTY500,NIFTYSMALLCAP250"
GRWRHITECH,Garware Hi-Tech Films Limited,Plastic Products - Industrial,Industrials,
GSFC,Gujarat State Fertilizers & Chemicals Limited,Fertilizers,Materials,
GSLSU,Global Surfaces Limited,Granites & Marbles,Diversified / Others,
GSPL,Gujarat State Petronet Limited,Gas Transmission/Marketing,Energy,"NIFTY500,NIFTYSMALLCAP250"
GSS,GSS Infotech Limited,IT Enabled Services,Information Technology,
GTECJAINX,G-TEC JAINX EDUCATION LIMITED,E-Learning,Diversified / Others,
GTL,GTL Limited,Other Telecom Services,Telecom,
GTLINFRA,GTL Infrastructure Limited,Telecom - Infrastructure,Telecom,
GTPL,GTPL Hathway Limited,TV Broadcasting & Software Production,Information Technology,
GUFICBIO,Gufic Biosciences Limited,Pharmaceuticals,Healthcare & Pharma,
GUJALKALI,Gujarat Alkalies and Chemicals Limited,Commodity Chemicals,Materials,
GUJAPOLLO,Gujarat Apollo Industries Limited,Industrial Products,Industrials,
GUJGASLTD,Gujarat Gas Limited,LPG/CNG/PNG/LNG Supplier,Energy,"NIFTY500,NIFTYMIDCAP150"
GUJRAFFIA,Gujarat Raffia Industries Limited,Packaging,Materials,
GUJTHEM,Gujarat Themis Biosyn Limited,Pharmaceuticals,Healthcare & Pharma,
GULFOILLUB,Gulf Oil Lubricants India Limited,Lubricants,Diversified / Others,
GULFPETRO,GP Petroleums Limited,Lubricants,Diversified / Others,
GULPOLY,Gulshan Polyols Limited,Other Agricultural Products,Diversified / Others,
GVKPIL,GVK Power & Infrastructure Limited,Civil Construction,Real Estate & Construction,
GVPIL,GE Power India Limited,Heavy Electrical Equipment,Industrials,
GVPTECH,GVP Infotech Limited,IT Enabled Services,Information Technology,
GVT&D,GE Vernova T&D India Limited,Heavy Electrical Equipment,Industrials,"NIFTY500,NIFTYMIDCAP150"
HAL,Hindustan Aeronautics Limited,Aerospace & Defense,Industrials,"NIFTY100,NIFTY500"
HALEOSLABS,HALEOS LABS LIMITED,Pharmaceuticals,Healthcare & Pharma,
HAPPSTMNDS,Happiest Minds Technologies Limited,Computers - Software & Consulting,Information Technology,"NIFTY500,NIFTYSMALLCAP250"
HAPPYFORGE,Happy Forgings Limited,Castings & Forgings,Industrials,
HARDWYN,Hardwyn India Limited,Furniture Home Furnishing,Diversified / Others,
HARIOMPIPE,Hariom Pipe Industries Limited,Iron & Steel Products,Materials,
HARRMALAYA,Harrisons  Malayalam Limited,Rubber,Industrials,
HARSHA,Harsha Engineers International Limited,Other Industrial Products,Industrials,
HATHWAY,Hathway Cable & Datacom Limited,TV Broadcasting & Software Production,Information Technology,
HATSUN,Hatsun Agro Product Limited,Dairy Products,Consumer Staples,
HAVELLS,Havells India Limited,Consumer Electronics,Consumer Discretionary,"NIFTY100,NIFTY500"
HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,Hotels & Resorts,Consumer Discretionary,
HBLENGINE,HBL Engineering Limited,Other Industrial Products,Industrials,"NIFTY500,NIFTYSMALLCAP250"
HBSL,HB Stockholdings Limited,Non Banking Financial Company (NBFC),Financials,
HCC,Hindustan Construction Company Limited,Civil Construction,Real Estate & Construction,
HCG,Healthcare Global Enterprises Limited,Hospital,Healthcare & Pharma,
HCL-INSYS,HCL Infosystems Limited,Computers Hardware & Equipments,Information Technology,
HCLTECH,HCL Technologies Limited,Computers - Software & Consulting,Information Technology,"NIFTY100,NIFTY50,NIFTY500"
HDBFS,HDB Financial Services Limited,Non Banking Financial Company (NBFC),Financials,
HDFCAMC,HDFC Asset Management Company Limited,Asset Management Company,Financials,"NIFTY500,NIFTYMIDCAP150"
HDFCBANK,HDFC Bank Limited,Private Sector Bank,Financials,"NIFTY100,NIFTY50,NIFTY500"
HDFCLIFE,HDFC Life Insurance Company Limited,Life Insurance,Financials,"NIFTY100,NIFTY50,NIFTY500"
HDIL,Housing Development and Infrastructure Limited,Residential Commercial Projects,Real Estate & Construction,
HEADSUP,Heads UP Ventures Limited,Trading - Textile Products,Consumer Discretionary,
HECPROJECT,HEC Infra Projects Limited,Civil Construction,Real Estate & Construction,
HEG,HEG Limited,Electrodes & Refractories,Industrials,"NIFTY500,NIFTYSMALLCAP250"
HEIDELBERG,HeidelbergCement India Limited,Cement & Cement Products,Materials,
HEMIPROP,Hemisphere Properties India Limited,Diversified Commercial Services,Diversified / Others,
HERANBA,Heranba Industries Limited,Pesticides & Agrochemicals,Materials,
HERCULES,HERCULES INVESTMENTS LIMITED,Industrial Products,Industrials,
HERITGFOOD,Heritage Foods Limited,Dairy Products,Consumer Staples,
HEROMOTOCO,Hero MotoCorp Limited,2/3 Wheelers,Diversified / Others,"NIFTY500,NIFTYMIDCAP150"
HESTERBIO,Hester Biosciences Limited,Pharmaceuticals,Healthcare & Pharma,
HEUBACHIND,Heubach Colorants India Limited,Dyes And Pigments,Materials,
HEXATRADEX,Hexa Tradex Limited,Investment Company,Financials,
HEXT,Hexaware Technologies Limited,Computers - Software & Consulting,Information Technology,"NIFTY500,NIFTYMIDCAP150"
HFCL,HFCL Limited,Telecom - Infrastructure,Telecom,"NIFTY500,NIFTYSMALLCAP250"
HGINFRA,H.G. Infra Engineering Limited,Civil Construction,Real Estate & Construction,
HGM,HandsOn Global Management (HGM) Limited,IT Enabled Services,Information Technology,
HGS,Hinduja Global Solutions Limited,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Diversified / Others,
HIKAL,Hikal Limited,Pharmaceuticals,Healthcare & Pharma,
HILINFRA,Highway Infrastructure Limited,Road Assets - Toll Annuity Hybrid-Annuity,Diversified / Others,
HILTON,Hilton Metal Forging Limited,Castings & Forgings,Industrials,
HIMATSEIDE,Himatsingka Seide Limited,Other Textile Products,Consumer Discretionary,
HINDALCO,Hindalco Industries Limited,Aluminium,Materials,"NIFTY100,NIFTY50,NIFTY500"
HINDCOMPOS,Hindustan Composites Limited,Auto Components & Equipments,Consumer Discretionary,
HINDCON,Hindcon Chemicals Limited,Specialty Chemicals,Materials,
HINDCOPPER,Hindustan Copper Limited,Copper,Materials,"NIFTY500,NIFTYSMALLCAP250"
HINDOILEXP,Hindustan Oil Exploration Company Limited,Oil Exploration & Production,Energy,
HINDPETRO,Hindustan Petroleum Corporation Limited,Refineries & Marketing,Energy,"NIFTY500,NIFTYMIDCAP150"
HINDUNILVR,Hindustan Unilever Limited,Diversified FMCG,Diversified / Others,"NIFTY100,NIFTY50,NIFTY500"
HINDWAREAP,Hindware Home Innovation Limited,Sanitary Ware,Diversified / Others,
HINDZINC,Hindustan Zinc Limited,Zinc,Materials,"NIFTY100,NIFTY500"
HIRECT,Hind Rectifiers Limited,Industrial Products,Industrials,
HISARMETAL,Hisar Metal Industries Limited,Iron & Steel Products,Materials,
HITECH,Hi-Tech Pipes Limited,Iron & Steel Products,Materials,
HITECHCORP,Hitech Corporation Limited,Packaging,Materials,
HITECHGEAR,The Hi-Tech Gears Limited,Auto Components & Equipments,Consumer Discretionary,
HLEGLAS,HLE Glascoat Limited,Industrial Products,Industrials,
HLVLTD,HLV LIMITED,Hotels & Resorts,Consumer Discretionary,
HMAAGRO,HMA Agro Industries Limited,Meat Products including Poultry,Diversified / Others,
HMT,HMT Limited,Industrial Products,Industrials,
HMVL,Hindustan Media Ventures Limited,Print Media,Consumer Discretionary,
HNDFDS,Hindustan Foods Limited,Diversified FMCG,Diversified / Others,
HOMEFIRST,Home First Finance Company India Limited,Housing Finance Company,Financials,"NIFTY500,NIFTYSMALLCAP250"
HONASA,Honasa Consumer Limited,Personal Care,Consumer Staples,"NIFTY500,NIFTYSMALLCAP250"
HONAUT,Honeywell Automation India Limited,Industrial Products,Industrials,"NIFTY500,NIFTYMIDCAP150"
HONDAPOWER,Honda India Power Products Limited,Industrial Products,Industrials,
HPAL,HP Adhesives Limited,Specialty Chemicals,Materials,
HPIL,Hindprakash Industries Limited,Dyes And Pigments,Materials,
HPL,HPL Electric & Power Limited,Industrial Products,Industrials,
HSCL,Himadri Speciality Chemical Limited,Carbon Black,Diversified / Others,"NIFTY500,NIFTYSMALLCAP250"
HTMEDIA,HT Media Limited,Print Media,Consumer Discretionary,
HUBTOWN,Hubtown Limited,Residential Commercial Projects,Real Estate & Construction,
HUDCO,Housing & Urban Development Corporation Limited,Financial Institution,Financials,"NIFTY500,NIFTYMIDCAP150"
HUHTAMAKI,Huhtamaki India Limited,Packaging,Materials,
HYBRIDFIN,Hybrid Financial Services Limited,Stockbroking & Allied,Financials,
HYUNDAI,Hyundai Motor India Limited,Passenger Cars & Utility Vehicles,Consumer Discretionary,"NIFTY100,NIFTY500"
ICDSLTD,ICDS Limited,Diversified Commercial Services,Diversified / Others,
ICEMAKE,Ice Make Refrigeration Limited,Industrial Products,Industrials,
ICICIBANK,ICICI Bank Limited,Private Sector Bank,Financials,"NIFTY100,NIFTY50,NIFTY500"
ICICIGI,ICICI Lombard General Insurance Company Limited,General Insurance,Financials,"NIFTY100,NIFTY500"
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,Life Insurance,Financials,"NIFTY500,NIFTYMIDCAP150"
ICIL,Indo Count Industries Limited,Other Textile Products,Consumer Discretionary,
ICRA,ICRA Limited,Ratings,Diversified / Others,
IDBI,IDBI Bank Limited,Private Sector Bank,Financials,"NIFTY500,NIFTYMIDCAP150"
IDEA,Vodafone Idea Limited,Telecom - Cellular & Fixed line services,Telecom,"NIFTY500,NIFTYMIDCAP150"
IDEAFORGE,Ideaforge Technology Limited,Aerospace & Defense,Industrials,
IDFCFIRSTB,IDFC First Bank Limited,Private Sector Bank,Financials,"NIFTY500,NIFTYMIDCAP150"
IEX,Indian Energy Exchange Limited,Exchange and Data Platform,Diversified / Others,"NIFTY500,NIFTYSMALLCAP250"
IFBAGRO,IFB Agro Industries Limited,Breweries & Distilleries,Consumer Staples,
IFBIND,IFB Industries Limited,Household Appliances,Consumer Discretionary,
IFCI,IFCI Limited,Financial Institution,Financials,"NIFTY500,NIFTYSMALLCAP250"
IFGLEXPOR,IFGL Refractories Limited,Electrodes & Refractories,Industrials,
IGARASHI,Igarashi Motors India Limited,Auto Components & Equipments,Consumer Discretionary,
IGCL,Indogulf Cropsciences Limited,Pesticides & Agrochemicals,Materials,
IGIL,International Gemmological Institute (India) Limited,Diversified Commercial Services,Diversified / Others,"NIFTY500,NIFTYSMALLCAP250"
IGL,Indraprastha Gas Limited,LPG/CNG/PNG/LNG Supplier,Energy,"NIFTY500,NIFTYMIDCAP150"
IGPL,IG Petrochemicals Limited,Commodity Chemicals,Materials,
IIFL,IIFL Finance Limited,Non Banking Financial Company (NBFC),Financials,"NIFTY500,NIFTYSMALLCAP250"
IIFLCAPS,IIFL Capital Services Limited,Stockbroking & Allied,Financials,
IITL,Industrial Investment Trust Limited,Investment Company,Financials,
IKIO,IKIO Technologies Limited,Consumer Electronics,Consumer Discretionary,
IKS,Inventurus Knowledge Solutions Limited,IT Enabled Services,Information Technology,"NIFTY500,NIFTYSMALLCAP250"
