SYMBOL,COMPANY_NAME_API,NSE_INDUSTRY,SECTOR,INDEX_MEMBERSHIP
ACUTAAS,Acutaas Chemicals Limited,Pharmaceuticals,Healthcare & Pharma,
ADANI-RE,Adani Enterprises Limited-RE,TRADING - MINERALS/ MINING,Materials,
ADANIENSOL,Adani Energy Solutions Limited,Power Distribution,Utilities,"NIFTY100,NIFTY500"
ADANIENT,Adani Enterprises Limited,Trading - Minerals,Materials,"NIFTY100,NIFTY50,NIFTY500"
ADANIGREEN,Adani Green Energy Limited,Power Generation,Utilities,"NIFTY100,NIFTY500"
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Port & Port services,Diversified / Others,"NIFTY100,NIFTY50,NIFTY500"
ADANIPOWER,Adani Power Limited,Integrated Power Utilities,Utilities,"NIFTY100,NIFTY500"
ADFFOODS,ADF Foods Limited,Packaged Foods,Consumer Staples,
ADL,Archidply Decor Limited,Plywood Boards/ Laminates,Materials,
ADOR,Ador Welding Limited,Other Industrial Products,Industrials,
ADROITINFO,Adroit Infotech Limited,IT Enabled Services,Information Technology,
ADSL,Allied Digital Services Limited,IT Enabled Services,Information Technology,
ADVANCE,Advance Agrolife Limited,Pesticides & Agrochemicals,Materials,
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Hotels & Resorts,Consumer Discretionary,
ADVENTHTL,Advent Hotels International Limited,Hotels & Resorts,Consumer Discretionary,
ADVENZYMES,Advanced Enzyme Technologies Limited,Biotechnology,Healthcare & Pharma,
AEGISLOG,Aegis Logistics Limited,Trading - Gas,Energy,"NIFTY500,NIFTYSMALLCAP250"
AEGISVOPAK,Aegis Vopak Terminals Limited,Oil Storage & Transportation,Energy,"NIFTY500,NIFTYSMALLCAP250"
AEROENTER,Aeroflex Enterprises Limited,Iron & Steel Products,Materials,
AEROFLEX,Aeroflex Industries Limited,Iron & Steel Products,Materials,
AERONEU,Aeroflex Neu Limited,Packaging,Materials,
AETHER,Aether Industries Limited,Specialty Chemicals,Materials,
AFCONS,Afcons Infrastructure Limited,Civil Construction,Real Estate & Construction,"NIFTY500,NIFTYSMALLCAP250"
AFFLE,Affle 3i Limited,IT Enabled Services,Information Technology,"NIFTY500,NIFTYSMALLCAP250"
AFFORDABLE,Affordable Robotic & Automation Limited,Industrial Products,Industrials,
AFIL,Akme Fintrade (India) Limited,Non Banking Financial Company (NBFC),Financials,
AFSL,Abans Financial Services Limited,Holding Company,Diversified / Others,
AGARIND,Agarwal Industrial Corporation Limited,Petrochemicals,Materials,
AGARWALEYE,Dr. Agarwal's Health Care Limited,Hospital,Healthcare & Pharma,"NIFTY500,NIFTYSMALLCAP250"
AGI,AGI Greenpac Limited,Packaging,Materials,
AGIIL,Agi Infra Limited,Residential Commercial Projects,Real Estate & Construction,
AGRITECH,Agri-Tech (India) Limited,Other Agricultural Products,Diversified / Others,
AGROPHOS,Agro Phos India Limited,Fertilizers,Materials,
AGSTRA,AGS Transact Technologies Limited,Financial Technology (Fintech),Financials,
AHCL,Anlon Healthcare Limited,Pharmaceuticals,Healthcare & Pharma,
AHLADA,Ahlada Engineers Limited,Furniture Home Furnishing,Diversified / Others,
AHLEAST,Asian Hotels (East) Limited,Hotels & Resorts,Consumer Discretionary,
AHLUCONT,Ahluwalia Contracts (India) Limited,Civil Construction,Real Estate & Construction,
AIAENG,AIA Engineering Limited,Castings & Forgings,Industrials,"NIFTY500,NIFTYMIDCAP150"
AIIL,Authum Investment & Infrastructure Limited,Non Banking Financial Company (NBFC),Financials,"NIFTY500,NIFTYSMALLCAP250"
AIRAN,Airan Limited,IT Enabled Services,Information Technology,
AIROLAM,Airo Lam limited,Plywood Boards/ Laminates,Materials,
AJANTPHARM,Ajanta Pharma Limited,Pharmaceuticals,Healthcare & Pharma,"NIFTY500,NIFTYMIDCAP150"
AJAXENGG,Ajax Engineering Limited,Construction Vehicles,Real Estate & Construction,
AJMERA,Ajmera Realty & Infra India Limited,Residential Commercial Projects,Real Estate & Construction,
AJOONI,Ajooni Biotech Limited,Animal Feed,Diversified / Others,
AKASH,Akash Infra-Projects Limited,Civil Construction,Real Estate & Construction,
AKG,Akg Exim Limited,Trading & Distributors,Consumer Discretionary,
AKI,AKI India Limited,Leather And Leather Products,Diversified / Others,
AKSHAR,Akshar Spintex Limited,Other Textile Products,Consumer Discretionary,
