date,EquityCapital,Reserves,Borrowings ,OtherLiabilities ,TotalLiabilities,FixedAssets ,CWIP,Investments,OtherAssets ,TotalAssets
2014-03-01,303.0,20871.0,35527.0,20939.0,77640.0,47046.0,9400.0,663.0,20531.0,77640.0
2015-03-01,303.0,21987.0,38754.0,24610.0,85654.0,52176.0,8265.0,599.0,24613.0,85654.0
2016-03-01,301.0,18665.0,42204.0,20737.0,81907.0,56140.0,7271.0,1195.0,17302.0,81907.0
2017-03-01,301.0,22346.0,43334.0,22024.0,88005.0,58730.0,4363.0,1366.0,23546.0,88005.0
2018-03-01,302.0,27696.0,39393.0,24579.0,91970.0,57848.0,5950.0,1469.0,26703.0,91970.0
2019-03-01,301.0,34494.0,47396.0,32606.0,114797.0,62644.0,11889.0,1894.0,38370.0,114797.0
2020-03-01,301.0,36298.0,61423.0,33798.0,131820.0,62085.0,27191.0,1259.0,41285.0,131820.0
2021-03-01,302.0,45308.0,66727.0,34826.0,147163.0,64917.0,32566.0,7427.0,42253.0,147163.0
2022-03-01,301.0,66996.0,72237.0,56951.0,196485.0,99880.0,16905.0,4940.0,74760.0,196485.0
2023-03-01,301.0,65394.0,80853.0,63991.0,210539.0,104452.0,22166.0,4806.0,79115.0,210539.0
2024-03-01,305.0,77364.0,87984.0,62245.0,227898.0,112461.0,29676.0,7246.0,78515.0,227898.0
2025-03-01,305.0,79191.0,98752.0,62197.0,240445.0,124466.0,21007.0,15217.0,79755.0,240445.0
2025-09-01,305.0,82628.0,101107.0,66395.0,250435.0,126324.0,20544.0,15606.0,87961.0,250435.0
