date,EquityCapital,Reserves,Borrowings ,OtherLiabilities ,TotalLiabilities,FixedAssets ,CWIP,Investments,OtherAssets ,TotalAssets
2014-03-01,85.0,7780.0,4477.0,3563.0,15906.0,4641.0,639.0,1067.0,9559.0,15906.0
2015-03-01,85.0,9768.0,4314.0,4290.0,18457.0,5377.0,529.0,2248.0,10303.0,18457.0
2016-03-01,85.0,12484.0,3352.0,4408.0,20330.0,6563.0,772.0,3833.0,9162.0,20330.0
2017-03-01,83.0,12179.0,4918.0,4474.0,21654.0,6931.0,3324.0,2110.0,9290.0,21654.0
2018-03-01,83.0,12489.0,5071.0,4706.0,22349.0,6968.0,3470.0,2298.0,9612.0,22349.0
2019-03-01,83.0,13941.0,3838.0,4557.0,22418.0,7191.0,2934.0,2587.0,9707.0,22418.0
2020-03-01,83.0,15516.0,2210.0,5414.0,23223.0,6850.0,1535.0,2678.0,12160.0,23223.0
2021-03-01,83.0,17558.0,3031.0,5915.0,26588.0,8206.0,1565.0,2212.0,14605.0,26588.0
2022-03-01,83.0,19129.0,3384.0,7149.0,29746.0,8122.0,1293.0,2616.0,17715.0,29746.0
2023-03-01,83.0,23203.0,1347.0,7576.0,32209.0,9219.0,1030.0,4986.0,16974.0,32209.0
2024-03-01,83.0,28171.0,2002.0,8523.0,38780.0,10426.0,1419.0,4930.0,22004.0,38780.0
2025-03-01,83.0,33466.0,4677.0,9797.0,48023.0,18226.0,2466.0,4051.0,23280.0,48023.0
2025-09-01,84.0,35930.0,5854.0,12505.0,54373.0,20617.0,1997.0,4701.0,27058.0,54373.0
