date,EquityCapital,Reserves,Deposits,Borrowing,OtherLiabilities ,TotalLiabilities,FixedAssets ,CWIP,Investments,OtherAssets ,TotalAssets
2016-03-01,595.0,17102.0,93000.0,24996.0,7205.0,142898.0,1218.0,37.0,34056.0,107587.0,142898.0
2017-03-01,598.0,20049.0,127572.0,21454.0,8976.0,178650.0,1307.0,28.0,36704.0,140611.0,178650.0
2018-03-01,600.0,23243.0,151639.0,38289.0,7856.0,221628.0,1313.0,25.0,50078.0,170211.0,221628.0
2019-03-01,603.0,26085.0,194868.0,47321.0,8944.0,277821.0,1688.0,22.0,59268.0,216843.0,277821.0
2020-03-01,694.0,34054.0,202027.0,60754.0,9700.0,307229.0,1792.0,79.0,59938.0,245419.0,307229.0
2021-03-01,773.0,42727.0,255870.0,51323.0,12210.0,362903.0,1801.0,75.0,69653.0,291374.0,362903.0
2022-03-01,775.0,47252.0,293349.0,47323.0,13268.0,401967.0,1834.0,95.0,70930.0,329109.0,401967.0
2023-03-01,776.0,54229.0,336120.0,49011.0,17701.0,457837.0,1944.0,135.0,83076.0,372682.0,457837.0
2024-03-01,778.0,62429.0,384586.0,47611.0,19689.0,515094.0,2127.0,197.0,106486.0,406283.0,515094.0
2025-03-01,779.0,64057.0,410862.0,53704.0,24706.0,554107.0,2309.0,188.0,114457.0,437154.0,554107.0
2025-09-01,779.0,64126.0,389600.0,45350.0,27634.0,527490.0,2578.0,0.0,124008.0,400904.0,527490.0
