date,EquityCapital,Reserves,Borrowings ,OtherLiabilities ,TotalLiabilities,FixedAssets ,CWIP,Investments,OtherAssets ,TotalAssets
2014-03-01,414.0,8351.0,12979.0,2933.0,24677.0,13163.0,2025.0,63.0,9426.0,24677.0
2015-03-01,414.0,10351.0,17776.0,3541.0,32082.0,20527.0,1276.0,260.0,10020.0,32082.0
2016-03-01,414.0,13091.0,22342.0,2538.0,38385.0,20883.0,1967.0,545.0,14990.0,38385.0
2017-03-01,414.0,17112.0,22214.0,3629.0,43369.0,21054.0,4514.0,1161.0,16641.0,43369.0
2018-03-01,414.0,20489.0,22370.0,3960.0,47233.0,22670.0,4545.0,1079.0,18938.0,47233.0
2019-03-01,414.0,23958.0,27712.0,4228.0,56311.0,28121.0,4483.0,782.0,22924.0,56311.0
2020-03-01,406.0,25051.0,30242.0,6217.0,61917.0,32715.0,3216.0,1178.0,24808.0,61917.0
2021-03-01,406.0,30035.0,35855.0,8285.0,74582.0,48291.0,3697.0,2236.0,20358.0,74582.0
2022-03-01,422.0,41399.0,47935.0,8572.0,98328.0,62553.0,4023.0,3161.0,28591.0,98328.0
2023-03-01,432.0,44957.0,53434.0,13740.0,112563.0,72224.0,6637.0,7432.0,26271.0,112563.0
2024-03-01,432.0,52346.0,49470.0,14751.0,116999.0,75148.0,10936.0,4289.0,26627.0,116999.0
2025-03-01,432.0,61837.0,51621.0,19553.0,133443.0,89616.0,11706.0,4659.0,27461.0,133443.0
2025-09-01,432.0,66646.0,56851.0,23279.0,147207.0,96622.0,10104.0,5195.0,35287.0,147207.0
