date,EquityCapital,Reserves,Borrowings ,OtherLiabilities ,TotalLiabilities,FixedAssets ,CWIP,Investments,OtherAssets ,TotalAssets
2014-03-01,18.0,443.0,512.0,1363.0,2336.0,255.0,15.0,33.0,2032.0,2336.0
2015-03-01,18.0,438.0,398.0,1322.0,2175.0,257.0,22.0,36.0,1860.0,2175.0
2016-03-01,18.0,612.0,365.0,1530.0,2525.0,259.0,16.0,242.0,2007.0,2525.0
2017-03-01,19.0,738.0,221.0,1672.0,2650.0,356.0,34.0,11.0,2250.0,2650.0
2018-03-01,19.0,774.0,376.0,2068.0,3236.0,392.0,25.0,13.0,2806.0,3236.0
2019-03-01,19.0,854.0,348.0,2130.0,3351.0,400.0,41.0,15.0,2895.0,3351.0
2020-03-01,19.0,763.0,520.0,2137.0,3439.0,444.0,67.0,17.0,2911.0,3439.0
2021-03-01,19.0,866.0,510.0,2154.0,3549.0,384.0,72.0,295.0,2799.0,3549.0
2022-03-01,19.0,998.0,554.0,2741.0,4313.0,433.0,152.0,162.0,3565.0,4313.0
2023-03-01,19.0,1311.0,662.0,3455.0,5447.0,859.0,83.0,148.0,4357.0,5447.0
2024-03-01,41.0,2569.0,243.0,3758.0,6611.0,1165.0,127.0,267.0,5053.0,6611.0
2025-03-01,41.0,3024.0,381.0,4803.0,8249.0,1536.0,123.0,432.0,6158.0,8249.0
2025-09-01,41.0,3070.0,1030.0,3759.0,7901.0,1680.0,60.0,360.0,5801.0,7901.0
