date,EquityCapital,Reserves,Borrowings ,OtherLiabilities ,TotalLiabilities,FixedAssets ,CWIP,Investments,OtherAssets ,TotalAssets
2014-03-01,24.0,774.0,150.0,1159.0,2107.0,848.0,107.0,198.0,954.0,2107.0
2015-03-01,24.0,1221.0,145.0,1403.0,2793.0,844.0,48.0,518.0,1383.0,2793.0
2016-03-01,24.0,2068.0,131.0,1271.0,3494.0,950.0,90.0,788.0,1665.0,3494.0
2017-03-01,24.0,2672.0,125.0,1288.0,4109.0,1160.0,30.0,487.0,2432.0,4109.0
2018-03-01,24.0,3382.0,201.0,1581.0,5188.0,1346.0,203.0,1079.0,2560.0,5188.0
2019-03-01,24.0,4229.0,156.0,1829.0,6238.0,1688.0,101.0,1476.0,2972.0,6238.0
2020-03-01,24.0,4379.0,1538.0,1889.0,7830.0,1878.0,40.0,2893.0,3019.0,7830.0
2021-03-01,24.0,3524.0,2122.0,2331.0,8000.0,1793.0,117.0,2781.0,3310.0,8000.0
2022-03-01,24.0,2534.0,2481.0,2487.0,7527.0,1753.0,536.0,1762.0,3475.0,7527.0
2023-03-01,24.0,3510.0,2997.0,2819.0,9351.0,2655.0,105.0,3324.0,3266.0,9351.0
2024-03-01,24.0,3917.0,2065.0,3065.0,9072.0,2771.0,188.0,2767.0,3346.0,9072.0
2025-03-01,24.0,4332.0,1247.0,3235.0,8837.0,2904.0,89.0,2865.0,2978.0,8837.0
2025-09-01,24.0,3709.0,2196.0,3520.0,9450.0,2922.0,73.0,2293.0,4162.0,9450.0
