date,EquityCapital,Reserves,Deposits,Borrowing,OtherLiabilities ,TotalLiabilities,FixedAssets ,CWIP,Investments,OtherAssets ,TotalAssets
2014-03-01,1155.0,75275.0,441459.0,101596.0,128278.0,747762.0,5507.0,0.0,267609.0,474646.0,747762.0
2015-03-01,1160.0,83545.0,478042.0,119165.0,144167.0,826079.0,5871.0,0.0,274311.0,545897.0,826079.0
2016-03-01,1163.0,92948.0,482401.0,189054.0,153190.0,918756.0,8713.0,0.0,286044.0,623999.0,918756.0
2017-03-01,1165.0,103467.0,530204.0,170670.0,180219.0,985725.0,9338.0,0.0,304373.0,672013.0,985725.0
2018-03-01,1286.0,109344.0,585796.0,229402.0,198453.0,1124281.0,9465.0,0.0,372208.0,742608.0,1124281.0
2019-03-01,1289.0,112964.0,681317.0,210324.0,232899.0,1238794.0,9660.0,0.0,398201.0,830933.0,1238794.0
2020-03-01,1295.0,121665.0,800784.0,213852.0,239696.0,1377292.0,10409.0,0.0,443473.0,923411.0,1377292.0
2021-03-01,1383.0,156204.0,959940.0,143900.0,312385.0,1573812.0,10809.0,0.0,536579.0,1026424.0,1573812.0
2022-03-01,1390.0,180663.0,1091366.0,161603.0,317616.0,1752637.0,10707.0,0.0,567098.0,1174833.0,1752637.0
2023-03-01,1397.0,213101.0,1210832.0,189062.0,344099.0,1958490.0,11070.0,0.0,639552.0,1307868.0,1958490.0
2024-03-01,1405.0,254739.0,1443580.0,207428.0,456911.0,2364063.0,15714.0,0.0,827163.0,1521186.0,2364063.0
2025-03-01,1425.0,312481.0,1641637.0,218883.0,467815.0,2642241.0,24272.0,0.0,886377.0,1731593.0,2642241.0
2025-09-01,1429.0,331807.0,1645865.0,215240.0,492145.0,2686485.0,16562.0,0.0,899798.0,1770125.0,2686485.0
