date,EquityCapital,Reserves,Borrowings ,OtherLiabilities ,TotalLiabilities,FixedAssets ,CWIP,Investments,OtherAssets ,TotalAssets
2018-03-01,0.03,1036.0,186.0,152.0,1374.0,190.0,1.0,829.0,354.0,1374.0
2019-03-01,0.03,2356.0,348.0,709.0,3413.0,389.0,1.0,2145.0,879.0,3413.0
2020-03-01,0.03,457.0,326.0,2117.0,2900.0,1591.0,1.0,324.0,985.0,2900.0
2021-03-01,0.0,7644.0,527.0,532.0,8704.0,1539.0,0.0,2205.0,4959.0,8704.0
2022-03-01,764.0,15741.0,70.0,751.0,17327.0,1404.0,1.0,4718.0,11204.0,17327.0
2023-03-01,836.0,18624.0,507.0,1632.0,21599.0,6344.0,7.0,6765.0,8483.0,21599.0
2024-03-01,868.0,19545.0,749.0,2194.0,23356.0,6448.0,18.0,11645.0,5245.0,23356.0
2025-03-01,907.0,29410.0,2045.0,3261.0,35623.0,9532.0,51.0,13192.0,12848.0,35623.0
2025-09-01,910.0,29912.0,3351.0,3942.0,38115.0,11083.0,116.0,14758.0,12158.0,38115.0
