date,EquityCapital,Reserves,Borrowing,OtherLiabilities ,TotalLiabilities,FixedAssets ,CWIP,Investments,OtherAssets ,TotalAssets
2014-03-01,227.0,8283.0,38630.0,5192.0,52332.0,155.0,0.0,2435.0,49742.0,52332.0
2015-03-01,227.0,9039.0,46695.0,6193.0,62154.0,154.0,0.0,3037.0,58962.0,62154.0
2016-03-01,227.0,9949.0,49790.0,8048.0,68013.0,152.0,0.0,1340.0,66522.0,68013.0
2017-03-01,227.0,11105.0,53080.0,10034.0,74446.0,136.0,0.0,1518.0,72791.0,74446.0
2018-03-01,227.0,13463.0,82131.0,1539.0,97360.0,122.0,0.0,2456.0,94782.0,97360.0
2019-03-01,227.0,15736.0,87914.0,1542.0,105419.0,147.0,0.0,4126.0,101146.0,105419.0
2020-03-01,227.0,17915.0,94735.0,1389.0,114266.0,489.0,0.0,2936.0,110841.0,114266.0
2021-03-01,253.0,21464.0,106546.0,1647.0,129910.0,437.0,0.0,3347.0,126126.0,129910.0
2022-03-01,271.0,25824.0,114846.0,1328.0,142268.0,418.0,0.0,6971.0,134879.0,142268.0
2023-03-01,374.0,43138.0,164202.0,2858.0,210573.0,3714.0,66.0,7430.0,199363.0,210573.0
2024-03-01,376.0,48571.0,195496.0,3823.0,248266.0,3718.0,0.0,9472.0,235077.0,248266.0
2025-03-01,376.0,56094.0,234197.0,3055.0,293722.0,2914.0,0.0,15788.0,275020.0,293722.0
2025-09-01,376.0,60227.0,234309.0,4276.0,299189.0,2807.0,0.0,13427.0,282956.0,299189.0
