date,EquityCapital,Reserves,Borrowings ,OtherLiabilities ,TotalLiabilities,FixedAssets ,CWIP,Investments,OtherAssets ,TotalAssets
2014-03-01,27.0,2937.0,18.0,729.0,3710.0,1222.0,144.0,502.0,1842.0,3710.0
2015-03-01,27.0,3469.0,27.0,883.0,4405.0,1309.0,218.0,733.0,2145.0,4405.0
2016-03-01,53.0,4240.0,42.0,562.0,4898.0,1439.0,264.0,803.0,2392.0,4898.0
2017-03-01,53.0,5304.0,36.0,762.0,6155.0,1559.0,444.0,1631.0,2521.0,6155.0
2018-03-01,53.0,5872.0,63.0,797.0,6785.0,1996.0,120.0,1889.0,2780.0,6785.0
2019-03-01,53.0,6904.0,106.0,973.0,8036.0,2088.0,492.0,1946.0,3511.0,8036.0
2020-03-01,53.0,7257.0,39.0,1183.0,8531.0,2782.0,920.0,971.0,3858.0,8531.0
2021-03-01,53.0,9242.0,5.0,1471.0,10771.0,3704.0,711.0,0.0,6356.0,10771.0
2022-03-01,53.0,11675.0,4.0,1628.0,13360.0,4325.0,470.0,72.0,8493.0,13360.0
2023-03-01,53.0,12714.0,3.0,1654.0,14425.0,4723.0,212.0,77.0,9413.0,14425.0
2024-03-01,53.0,13518.0,3.0,1886.0,15460.0,4739.0,778.0,82.0,9861.0,15460.0
2025-03-01,53.0,14916.0,4.0,1948.0,16921.0,5442.0,1022.0,65.0,10392.0,16921.0
2025-09-01,53.0,15360.0,90.0,2648.0,18151.0,5678.0,2030.0,67.0,10376.0,18151.0
