date,EquityCapital,Reserves,Deposits,Borrowing,OtherLiabilities ,TotalLiabilities,FixedAssets ,CWIP,Investments,OtherAssets ,TotalAssets
2014-03-01,480.0,43687.0,367080.0,49597.0,42776.0,503620.0,3026.0,0.0,119571.0,381023.0,503620.0
2015-03-01,501.0,62653.0,450284.0,59478.0,34181.0,607097.0,3225.0,0.0,149454.0,454417.0,607097.0
2016-03-01,506.0,73798.0,545873.0,103714.0,38321.0,762212.0,3667.0,0.0,193634.0,564912.0,762212.0
2017-03-01,513.0,91281.0,643134.0,98416.0,59000.0,892344.0,4000.0,0.0,210777.0,677567.0,892344.0
2018-03-01,519.0,109080.0,788375.0,156442.0,48770.0,1103186.0,4008.0,0.0,238461.0,860717.0,1103186.0
2019-03-01,545.0,153128.0,922503.0,157733.0,58898.0,1292806.0,4369.0,0.0,289446.0,998991.0,1292806.0
2020-03-01,548.0,175810.0,1146207.0,186834.0,71430.0,1580830.0,4776.0,0.0,389305.0,1186750.0,1580830.0
2021-03-01,551.0,209259.0,1333721.0,177697.0,78279.0,1799507.0,5248.0,0.0,438823.0,1355435.0,1799507.0
2022-03-01,555.0,246772.0,1558003.0,226966.0,90639.0,2122934.0,6432.0,0.0,449264.0,1667238.0,2122934.0
2023-03-01,558.0,288880.0,1882663.0,256549.0,101783.0,2530432.0,8431.0,0.0,511582.0,2010419.0,2530432.0
2024-03-01,760.0,455636.0,2376887.0,730615.0,466296.0,4030194.0,12604.0,0.0,1005682.0,3011909.0,4030194.0
2025-03-01,765.0,521024.0,2710898.0,634606.0,524817.0,4392110.0,15258.0,0.0,1186473.0,3190379.0,4392110.0
2025-09-01,1536.0,537608.0,2798170.0,599507.0,577920.0,4514741.0,15538.0,0.0,1250391.0,3248813.0,4514741.0
