date,EquityCapital,Reserves,Borrowings ,OtherLiabilities ,TotalLiabilities,FixedAssets ,CWIP,Investments,OtherAssets ,TotalAssets
2014-06-01,140.0,19410.0,1018.0,9412.0,29980.0,7444.0,531.0,662.0,21343.0,29980.0
2015-06-01,281.0,23943.0,648.0,10372.0,35245.0,8275.0,552.0,869.0,25548.0,35245.0
2016-03-01,282.0,27109.0,1090.0,10859.0,39341.0,9716.0,611.0,698.0,28315.0,39341.0
2017-03-01,285.0,32664.0,582.0,12231.0,45762.0,15235.0,448.0,1306.0,28773.0,45762.0
2018-03-01,278.0,36108.0,557.0,11046.0,47989.0,18753.0,320.0,2660.0,26256.0,47989.0
2019-03-01,271.0,41095.0,4195.0,12788.0,58349.0,22888.0,235.0,2305.0,32921.0,58349.0
2020-03-01,543.0,50724.0,7986.0,23566.0,82819.0,37490.0,400.0,7066.0,37863.0,82819.0
2021-03-01,543.0,59370.0,6864.0,19270.0,86047.0,37145.0,312.0,6862.0,41728.0,86047.0
2022-03-01,543.0,61371.0,6343.0,20664.0,88921.0,35077.0,129.0,6351.0,47364.0,88921.0
2023-03-01,543.0,64862.0,4794.0,23051.0,93250.0,34619.0,40.0,5495.0,53096.0,93250.0
2024-03-01,543.0,67720.0,5758.0,24985.0,99006.0,35063.0,108.0,7137.0,56698.0,99006.0
2025-03-01,543.0,69112.0,6276.0,28549.0,104480.0,36172.0,59.0,7564.0,60685.0,104480.0
2025-09-01,543.0,70706.0,6780.0,30544.0,108573.0,36628.0,106.0,6265.0,65574.0,108573.0
