date,EquityCapital,Reserves,Borrowings ,OtherLiabilities ,TotalLiabilities,FixedAssets ,CWIP,Investments,OtherAssets ,TotalAssets
2014-03-01,1999.0,57757.0,75896.0,45840.0,181492.0,140614.0,0.0,15531.0,25347.0,181492.0
2015-03-01,1999.0,37778.0,83415.0,58747.0,181939.0,124279.0,17415.0,10752.0,29494.0,181939.0
2016-03-01,1999.0,64771.0,100646.0,57056.0,224472.0,172293.0,5702.0,11977.0,34500.0,224472.0
2017-03-01,1999.0,65458.0,107288.0,57578.0,232322.0,178235.0,10838.0,14339.0,28910.0,232322.0
2018-03-01,1999.0,67536.0,111334.0,68653.0,249521.0,187200.0,9751.0,16159.0,36411.0,249521.0
2019-03-01,1999.0,69424.0,125428.0,77176.0,274026.0,200832.0,9634.0,15711.0,47850.0,274026.0
2020-03-01,2728.0,74417.0,148228.0,133718.0,359091.0,229256.0,4282.0,25476.0,100077.0,359091.0
2021-03-01,2746.0,56207.0,162785.0,122679.0,344417.0,223480.0,5726.0,27550.0,87661.0,344417.0
2022-03-01,2795.0,63759.0,169678.0,124975.0,361207.0,244083.0,5955.0,29349.0,81820.0,361207.0
2023-03-01,2837.0,74726.0,226020.0,140974.0,444557.0,277394.0,49425.0,32954.0,84784.0,444557.0
2024-03-01,2877.0,79142.0,215592.0,144408.0,442019.0,303303.0,16904.0,31602.0,90210.0,442019.0
2025-03-01,2900.0,110772.0,213642.0,177692.0,505006.0,388468.0,10999.0,5838.0,99700.0,505006.0
2025-09-01,2900.0,114896.0,208010.0,198057.0,523863.0,395060.0,10219.0,9459.0,109124.0,523863.0
