date,EquityCapital,Reserves,Borrowings ,OtherLiabilities ,TotalLiabilities,FixedAssets ,CWIP,Investments,OtherAssets ,TotalAssets
2014-03-01,33.0,317.0,241.0,295.0,886.0,426.0,35.0,11.0,413.0,886.0
2015-03-01,33.0,394.0,218.0,291.0,937.0,454.0,34.0,21.0,428.0,937.0
2016-03-01,33.0,471.0,188.0,206.0,899.0,472.0,73.0,0.0,354.0,899.0
2017-03-01,33.0,804.0,286.0,871.0,1994.0,748.0,313.0,0.0,933.0,1994.0
2018-03-01,33.0,1174.0,304.0,703.0,2214.0,1282.0,126.0,0.0,806.0,2214.0
2019-03-01,33.0,1358.0,239.0,715.0,2345.0,1329.0,121.0,10.0,885.0,2345.0
2020-03-01,34.0,1621.0,253.0,982.0,2890.0,1699.0,220.0,7.0,964.0,2890.0
2021-03-01,35.0,1901.0,734.0,371.0,3042.0,1711.0,488.0,0.0,844.0,3042.0
2022-03-01,35.0,2145.0,835.0,946.0,3961.0,2376.0,253.0,0.0,1333.0,3961.0
2023-03-01,35.0,3497.0,1924.0,1613.0,7069.0,3661.0,412.0,204.0,2792.0,7069.0
2024-03-01,35.0,3859.0,2665.0,1369.0,7929.0,4139.0,697.0,194.0,2899.0,7929.0
2025-03-01,35.0,4596.0,4606.0,1843.0,11080.0,5086.0,1308.0,0.0,4686.0,11080.0
2025-09-01,35.0,5906.0,2439.0,3670.0,12050.0,6390.0,436.0,925.0,4299.0,12050.0
