date,EquityCapital,Reserves,Borrowings ,OtherLiabilities ,TotalLiabilities,FixedAssets ,CWIP,Investments,OtherAssets ,TotalAssets
2014-03-01,80.0,9232.0,19507.0,45565.0,74383.0,1262.0,1.0,45314.0,27805.0,74383.0
2015-03-01,80.0,11009.0,26312.0,50827.0,88228.0,1261.0,3.0,51367.0,35598.0,88228.0
2016-03-01,80.0,13519.0,36062.0,54290.0,103951.0,1274.0,11.0,53698.0,48969.0,103951.0
2017-03-01,80.0,16071.0,48282.0,64181.0,128614.0,1645.0,4.0,62658.0,64306.0,128614.0
2018-03-01,80.0,20403.0,65695.0,75337.0,161514.0,1792.0,28.0,69428.0,90266.0,161514.0
2019-03-01,80.0,23660.0,99754.0,84934.0,208428.0,2097.0,66.0,81679.0,124587.0,208428.0
2020-03-01,80.0,31222.0,127212.0,92791.0,251304.0,3216.0,45.0,91821.0,156223.0,251304.0
2021-03-01,80.0,35750.0,128461.0,115554.0,279845.0,3182.0,129.0,113654.0,162879.0,279845.0
2022-03-01,80.0,40167.0,161179.0,131987.0,333413.0,3586.0,113.0,119222.0,210493.0,333413.0
2023-03-01,159.0,46248.0,212265.0,146729.0,405401.0,4336.0,191.0,136176.0,264698.0,405401.0
2024-03-01,159.0,60169.0,288933.0,188154.0,537415.0,5455.0,220.0,170127.0,361613.0,537415.0
2025-03-01,160.0,72236.0,355855.0,223269.0,651519.0,6297.0,314.0,190130.0,454778.0,651519.0
2025-09-01,160.0,76331.0,392202.0,238823.0,707515.0,6548.0,155.0,49877.0,650935.0,707515.0
