date,EquityCapital,Reserves,Borrowings ,OtherLiabilities ,TotalLiabilities,FixedAssets ,CWIP,Investments,OtherAssets ,TotalAssets
2016-03-01,31.0,9495.0,50.0,2848.0,12425.0,1149.0,151.0,4620.0,6505.0,12425.0
2017-03-01,30.0,8760.0,0.0,3000.0,11791.0,1514.0,129.0,3918.0,6231.0,11791.0
2018-03-01,30.0,9942.0,0.0,3946.0,13919.0,1318.0,313.0,5232.0,7056.0,13919.0
2019-03-01,30.0,9088.0,0.0,3583.0,12701.0,1176.0,644.0,4045.0,6836.0,12701.0
2020-03-01,30.0,9231.0,74.0,3977.0,13311.0,1342.0,487.0,4033.0,7450.0,13311.0
2021-03-01,30.0,9783.0,54.0,4898.0,14764.0,1241.0,488.0,5150.0,7886.0,14764.0
2022-03-01,30.0,10650.0,73.0,4650.0,15402.0,1212.0,605.0,5521.0,8064.0,15402.0
2023-03-01,30.0,10976.0,53.0,5194.0,16252.0,1731.0,366.0,5018.0,9138.0,16252.0
2024-03-01,30.0,12027.0,39.0,5252.0,17348.0,1770.0,224.0,5121.0,10234.0,17348.0
2025-03-01,30.0,13784.0,118.0,6310.0,20241.0,1622.0,396.0,7160.0,11062.0,20241.0
2025-09-01,30.0,13988.0,109.0,6197.0,20323.0,1669.0,242.0,7648.0,10763.0,20323.0
