date,EquityCapital,Reserves,Borrowings ,OtherLiabilities ,TotalLiabilities,FixedAssets ,CWIP,Investments,OtherAssets ,TotalAssets
2017-03-01,537.0,655.0,874.0,1080.0,3146.0,2244.0,46.0,0.0,856.0,3146.0
2018-03-01,537.0,627.0,981.0,1157.0,3302.0,2227.0,38.0,0.0,1036.0,3302.0
2019-03-01,537.0,426.0,1003.0,1389.0,3355.0,2192.0,87.0,1.0,1075.0,3355.0
2020-03-01,537.0,2016.0,875.0,546.0,3974.0,851.0,28.0,2182.0,913.0,3974.0
2021-03-01,966.0,4673.0,1101.0,1803.0,8543.0,6536.0,27.0,1.0,1980.0,8543.0
2022-03-01,970.0,5313.0,913.0,1993.0,9189.0,7018.0,151.0,1.0,2020.0,9189.0
2023-03-01,971.0,6439.0,689.0,2003.0,10102.0,7039.0,252.0,1.0,2810.0,10102.0
2024-03-01,972.0,7436.0,1299.0,2293.0,12000.0,8784.0,553.0,2.0,2661.0,12000.0
2025-03-01,972.0,8409.0,3010.0,2795.0,15186.0,11502.0,901.0,3.0,2781.0,15186.0
2025-09-01,972.0,9080.0,3275.0,2954.0,16281.0,11826.0,1226.0,5.0,3223.0,16281.0
