date,EquityCapital,Reserves,Borrowings ,OtherLiabilities ,TotalLiabilities,FixedAssets ,CWIP,Investments,OtherAssets ,TotalAssets
2017-03-01,361.0,3418.0,2596.0,8834.0,15210.0,3794.0,25.0,3713.0,7677.0,15210.0
2018-03-01,384.0,6693.0,2254.0,11798.0,21129.0,4579.0,32.0,6344.0,10174.0,21129.0
2019-03-01,384.0,6561.0,2429.0,15651.0,25026.0,5662.0,24.0,6517.0,12824.0,25026.0
2020-03-01,385.0,5493.0,22719.0,13504.0,42101.0,16779.0,140.0,9499.0,15682.0,42101.0
2021-03-01,385.0,-274.0,29860.0,13081.0,43051.0,18817.0,72.0,7339.0,16823.0,43051.0
2022-03-01,385.0,-6373.0,36878.0,15073.0,45963.0,21284.0,125.0,8106.0,16447.0,45963.0
2023-03-01,386.0,-6638.0,44860.0,20562.0,59170.0,27658.0,21.0,11558.0,19933.0,59170.0
2024-03-01,386.0,1610.0,51280.0,28948.0,82224.0,36154.0,1.0,16546.0,29524.0,82224.0
2025-03-01,386.0,8982.0,66810.0,39666.0,115844.0,51782.0,3.0,26093.0,37966.0,115844.0
2025-09-01,387.0,8247.0,74814.0,44788.0,128236.0,57314.0,6.0,30424.0,40492.0,128236.0
