date,EquityCapital,Reserves,Deposits,Borrowing,OtherLiabilities ,TotalLiabilities,FixedAssets ,CWIP,Investments,OtherAssets ,TotalAssets
2014-03-01,747.0,146624.0,1838852.0,223760.0,185573.0,2395556.0,10223.0,337.0,579401.0,1805595.0,2395556.0
2015-03-01,747.0,160641.0,2052961.0,244663.0,240149.0,2699161.0,12924.0,400.0,673507.0,2012329.0,2699161.0
2016-03-01,776.0,179816.0,2253858.0,361399.0,276472.0,3072321.0,15415.0,786.0,807375.0,2248746.0,3072321.0
2017-03-01,797.0,216395.0,2599811.0,336366.0,288391.0,3441760.0,51189.0,695.0,1027281.0,2362594.0,3441760.0
2018-03-01,892.0,229429.0,2722178.0,369079.0,294860.0,3616439.0,42035.0,925.0,1183794.0,2389685.0,3616439.0
2019-03-01,892.0,233603.0,2940541.0,413748.0,299676.0,3888460.0,39941.0,762.0,1119270.0,2728487.0,3888460.0
2020-03-01,892.0,250168.0,3274161.0,332901.0,339364.0,4197486.0,39608.0,470.0,1228284.0,2929123.0,4197486.0
2021-03-01,892.0,274669.0,3715331.0,433796.0,420926.0,4845615.0,41600.0,116.0,1595100.0,3208798.0,4845615.0
2022-03-01,892.0,304696.0,4087411.0,449160.0,518719.0,5360878.0,41032.0,28.0,1776490.0,3543328.0,5360878.0
2023-03-01,892.0,358039.0,4468536.0,521152.0,605796.0,5954415.0,45880.0,66.0,1913108.0,3995361.0,5954415.0
2024-03-01,892.0,414047.0,4966537.0,639610.0,712669.0,6733756.0,46072.0,42.0,2110548.0,4577093.0,6733756.0
2025-03-01,892.0,486144.0,5439898.0,610857.0,775938.0,7313730.0,47716.0,41.0,2205601.0,5060371.0,7313730.0
2025-09-01,923.0,568389.0,5655559.0,650303.0,798225.0,7673400.0,54362.0,0.0,2276621.0,5342416.0,7673400.0
