date,EquityCapital,Reserves,Deposits,Borrowing,OtherLiabilities ,TotalLiabilities,FixedAssets ,CWIP,Investments,OtherAssets ,TotalAssets
2014-03-01,171.0,6690.0,59729.0,5768.0,2286.0,74643.0,414.0,23.0,23839.0,50368.0,74643.0
2015-03-01,171.0,7529.0,70823.0,2393.0,1993.0,82909.0,446.0,27.0,20349.0,62087.0,82909.0
2016-03-01,344.0,7720.0,79171.0,5236.0,2234.0,94706.0,508.0,16.0,24920.0,69262.0,94706.0
2017-03-01,345.0,8607.0,97662.0,6345.0,2527.0,115486.0,477.0,15.0,27912.0,87081.0,115486.0
2018-03-01,394.0,11880.0,111970.0,12329.0,2640.0,139214.0,452.0,10.0,30595.0,108158.0,139214.0
2019-03-01,397.0,13101.0,134879.0,8706.0,3469.0,160552.0,462.0,18.0,31676.0,128397.0,160552.0
2020-03-01,399.0,14424.0,152252.0,12528.0,3751.0,183353.0,477.0,28.0,35715.0,147133.0,183353.0
2021-03-01,399.0,16105.0,172186.0,12271.0,4006.0,204967.0,504.0,13.0,36732.0,167717.0,204967.0
2022-03-01,421.0,18835.0,181678.0,19587.0,5721.0,226241.0,643.0,29.0,39065.0,186504.0,226241.0
2023-03-01,423.0,21699.0,212988.0,25862.0,7031.0,268004.0,890.0,81.0,48702.0,218330.0,268004.0
2024-03-01,487.0,29618.0,252455.0,25160.0,10119.0,317839.0,996.0,67.0,61043.0,255733.0,317839.0
2025-03-01,491.0,34047.0,283484.0,32596.0,9626.0,360244.0,1456.0,72.0,66058.0,292658.0,360244.0
2025-09-01,492.0,35774.0,288862.0,26930.0,15508.0,367566.0,1508.0,0.0,70296.0,295762.0,367566.0
