date,EquityCapital,Reserves,Borrowings ,OtherLiabilities ,TotalLiabilities,FixedAssets ,CWIP,Investments,OtherAssets ,TotalAssets
2014-03-01,70.0,2907.0,1344.0,1029.0,5350.0,2681.0,491.0,322.0,1855.0,5350.0
2015-03-01,70.0,3102.0,1992.0,1296.0,6459.0,3244.0,533.0,311.0,2372.0,6459.0
2016-03-01,70.0,3262.0,2834.0,1195.0,7360.0,3997.0,562.0,352.0,2448.0,7360.0
2017-03-01,70.0,3244.0,3125.0,1665.0,8103.0,4591.0,347.0,406.0,2759.0,8103.0
2018-03-01,70.0,3182.0,3427.0,1917.0,8596.0,4773.0,712.0,352.0,2759.0,8596.0
2019-03-01,70.0,3264.0,3673.0,2159.0,9166.0,4982.0,822.0,462.0,2901.0,9166.0
2020-03-01,70.0,3270.0,3596.0,4354.0,11289.0,7432.0,236.0,434.0,3187.0,11289.0
2021-03-01,72.0,4531.0,4160.0,2629.0,11392.0,6778.0,234.0,1343.0,3037.0,11392.0
2022-03-01,72.0,5551.0,4068.0,3570.0,13261.0,8296.0,46.0,816.0,4104.0,13261.0
2023-03-01,72.0,6126.0,4332.0,3886.0,14416.0,8520.0,610.0,574.0,4712.0,14416.0
2024-03-01,72.0,6864.0,5333.0,4474.0,16742.0,9664.0,873.0,986.0,5219.0,16742.0
2025-03-01,72.0,8140.0,7864.0,4568.0,20644.0,10988.0,921.0,2487.0,6248.0,20644.0
2025-09-01,72.0,9021.0,7987.0,4870.0,21950.0,11262.0,1026.0,3008.0,6653.0,21950.0
