date,EquityCapital,Reserves,Deposits,Borrowing,OtherLiabilities ,TotalLiabilities,FixedAssets ,CWIP,Investments,OtherAssets ,TotalAssets
2014-03-01,470.0,37926.0,280541.0,52739.0,14674.0,386350.0,2346.0,102.0,113093.0,270810.0,386350.0
2015-03-01,474.0,44475.0,322244.0,84394.0,15656.0,467243.0,2447.0,105.0,118527.0,346164.0,467243.0
2016-03-01,477.0,53082.0,358302.0,113848.0,20678.0,546387.0,3358.0,216.0,131399.0,411414.0,546387.0
2017-03-01,479.0,55901.0,414983.0,112455.0,27644.0,611462.0,3518.0,292.0,129018.0,478633.0,611462.0
2018-03-01,513.0,63694.0,455658.0,155767.0,28071.0,703703.0,3697.0,352.0,153037.0,546618.0,703703.0
2019-03-01,514.0,67288.0,550746.0,161250.0,34248.0,814046.0,3842.0,288.0,174056.0,635860.0,814046.0
2020-03-01,564.0,85776.0,642157.0,155180.0,44194.0,927872.0,3912.0,483.0,155282.0,768196.0,927872.0
2021-03-01,613.0,102981.0,698303.0,152249.0,46859.0,1001005.0,4501.0,118.0,225336.0,771050.0,1001005.0
2022-03-01,614.0,117647.0,821165.0,199778.0,56576.0,1195779.0,4753.0,215.0,274608.0,916203.0,1195779.0
2023-03-01,615.0,129166.0,945825.0,206214.0,62598.0,1344418.0,5000.0,142.0,288095.0,1051181.0,1344418.0
2024-03-01,617.0,156406.0,1067102.0,228200.0,65913.0,1518239.0,5860.0,267.0,332354.0,1179758.0,1518239.0
2025-03-01,619.0,186616.0,1170921.0,220687.0,78119.0,1656963.0,6661.0,121.0,396685.0,1253496.0,1656963.0
2025-09-01,621.0,197639.0,1201656.0,240841.0,89352.0,1730109.0,6620.0,0.0,392986.0,1330502.0,1730109.0
