date,EquityCapital,Reserves,Borrowings ,OtherLiabilities ,TotalLiabilities,FixedAssets ,CWIP,Investments,OtherAssets ,TotalAssets
2014-03-01,89.0,2434.0,807.0,2781.0,6111.0,614.0,33.0,3.0,5461.0,6111.0
2015-03-01,89.0,2995.0,100.0,2684.0,5868.0,699.0,55.0,3.0,5111.0,5868.0
2016-03-01,89.0,3418.0,113.0,2723.0,6342.0,771.0,107.0,30.0,5434.0,6342.0
2017-03-01,89.0,4144.0,1882.0,2293.0,8408.0,1189.0,152.0,431.0,6636.0,8408.0
2018-03-01,89.0,5001.0,1691.0,2740.0,9521.0,1474.0,43.0,36.0,7968.0,9521.0
2019-03-01,89.0,5981.0,2393.0,3247.0,11710.0,1567.0,32.0,108.0,10003.0,11710.0
2020-03-01,89.0,6580.0,3562.0,3313.0,13544.0,2633.0,18.0,158.0,10735.0,13544.0
2021-03-01,89.0,7408.0,5638.0,3309.0,16444.0,2523.0,32.0,2824.0,11065.0,16444.0
2022-03-01,89.0,9214.0,7275.0,4610.0,21188.0,2544.0,85.0,294.0,18265.0,21188.0
2023-03-01,89.0,11762.0,9367.0,5802.0,27020.0,2998.0,144.0,2515.0,21363.0,27020.0
2024-03-01,89.0,9304.0,15528.0,6626.0,31547.0,3709.0,97.0,2345.0,25396.0,31547.0
2025-03-01,89.0,11535.0,20777.0,8244.0,40645.0,4062.0,105.0,1988.0,34490.0,40645.0
2025-09-01,89.0,12714.0,12465.0,26762.0,52030.0,4230.0,125.0,3673.0,44002.0,52030.0
